userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
790108255,583,20,16324,2460,22214,469,8130,813251,T
226745870,4395,82,826260,3029,27576,2349,8170,812753,T
095284112,4417,66,366611,1757,66642,1879,4501,812710,T
002821761,4434,81,372456,3772,17384,939,7789,812939,T
087602171,4372,69,682032,5712,9872,469,8437,812695,T
364571321,4475,66,398275,1805,14280,939,3828,813364,T
712807232,4470,62,639210,2430,11760,469,7807,813068,T
822583476,4310,76,422380,5029,12303,469,5765,812846,T
305048473,4222,86,417978,1676,14540,469,4115,812984,F
995468806,675,1,83025,1821,21044,469,7944,813534,T
255820986,618,3,129162,1886,7997,469,6257,813224,T
217022755,4398,67,149532,2394,159941,939,5598,813418,T
081190742,4357,88,387773,5477,9520,1409,4107,813257,T
703835058,4443,83,861942,4967,12303,1879,6137,813233,T
540661616,4494,72,287616,6247,9408,2349,6201,813272,T
371392453,4480,86,304640,2630,66642,2349,3971,813130,T
513886759,4431,53,225981,5753,21044,939,5879,812904,T
568094256,4340,87,898380,1761,22848,469,5647,813260,T
758085591,4473,65,326529,7404,8885,1879,6587,813176,T
581213311,640,1,81920,4165,19505,1409,3789,813591,T
434342077,4405,90,629915,2929,11760,1409,5593,812769,T
873983389,4381,78,201526,1687,34769,939,7543,813598,T
512138763,4593,22,541974,2394,25797,469,4284,813353,T
866886500,678,1,12204,2143,12116,939,4502,812931,T
939253200,624,1,98592,2050,10662,939,4616,813580,T
733417285,541,1,94134,2856,22214,469,6191,813385,T
869084642,4364,55,458220,3417,9192,939,8323,812993,T
968069225,4330,90,688470,1877,8507,1879,4750,813186,T
920384334,4387,65,57031,2499,11424,1409,6283,813650,T
052812100,4471,92,701947,7336,8985,469,8170,813695,T
439326664,4398,73,923580,2621,22848,939,6227,812989,T
955815317,4334,67,745448,4231,16660,2349,4718,812795,T
815291743,511,11,48545,2380,33321,469,4322,813017,T
624092118,4667,28,70005,4369,19992,469,4743,813238,T
802868610,4308,52,999456,3754,26656,939,7558,813103,T
280410819,565,1,16950,1734,8692,469,4627,812894,T
784180237,4421,63,265260,3304,10806,1879,8268,813587,T
113740939,690,1,157320,3087,10954,469,5938,813339,T
226903832,4451,90,1045985,4231,24233,2349,8044,813357,T
155103661,4403,91,352240,2674,17384,1879,7501,813278,T
912757128,4494,77,269640,8985,19040,469,6140,813216,T
261341395,4294,84,412224,1868,8077,939,5834,812858,T
286184592,4464,62,593712,5367,10252,939,3720,813543,T
597485541,4374,66,284310,3136,9996,1879,7956,813281,T
463699080,667,13,64032,5061,8077,469,8022,812822,T
481184741,4321,56,483952,2656,79970,939,8315,812823,T
022876179,696,16,106488,2227,13109,469,4657,812979,T
775310296,554,1,6648,2291,12495,939,4733,813115,T
545467065,4456,81,209432,1955,19040,1409,6058,812742,T
659684070,4427,66,774725,8985,8692,1409,6158,812973,T
589397802,593,9,50405,2522,24233,1409,4070,813302,T
074200978,4427,65,903108,2352,11263,1879,8074,813509,T
540404753,4319,70,306649,11263,17384,2349,4230,813254,T
376640771,4327,60,510586,3403,9520,469,5633,813637,T
549320491,4384,75,267424,7840,11935,1409,4265,812786,T
802825037,566,1,29998,2483,25797,469,7744,813025,T
322204456,534,1,41118,1615,10954,939,7994,813656,T
981562028,4328,81,965144,1793,11263,2349,6593,812897,T
883902836,4450,54,1050200,1605,8599,1409,8193,812987,T
635170701,667,3,98716,5403,12495,939,6382,812905,T
010273810,4417,63,1020327,1734,11935,469,7572,812756,T
895168588,681,1,149139,5794,88856,939,4370,813081,T
246778729,605,1,122210,4122,38081,939,5711,813088,T
127145915,4423,68,871331,3186,12116,2349,7507,813623,T
482001492,4343,54,903344,4760,72700,1879,3948,812943,T
176054225,4366,83,798978,1687,24233,1409,5758,813669,T
842705280,4394,72,105456,6104,33321,1409,6363,812997,T
108093803,4474,87,438452,3635,21613,2349,5812,813576,T
826521394,4415,63,44150,3360,49981,939,6251,812971,T
239432950,4328,82,90888,2805,72700,1879,7956,813629,T
261981059,4316,80,634452,2401,53313,1879,4601,813617,T
540234174,4482,74,107568,2278,8330,2349,3785,813314,T
868038748,4307,69,99061,2940,18175,2349,6059,812841,T
242276726,4365,63,305550,1886,8417,469,6328,813096,T
390610308,4323,80,613866,1979,7997,1879,6110,813632,T
847902901,4355,58,100165,6247,8077,2349,6369,812966,T
042757025,4314,91,962022,2298,9752,939,4562,813269,T
504732897,4444,72,257752,1625,47041,1409,6373,813303,T
131274628,4455,86,445500,2401,9996,939,4313,813464,T
760912777,4475,67,895000,2029,18597,1409,4006,813516,T
736475965,561,1,35904,4442,11424,939,7900,812935,T
934951171,4471,57,567817,9192,88856,939,6499,812761,T
308088571,4318,92,90678,7840,42089,1879,4725,812929,T
855658446,616,1,31416,2776,8692,1409,4082,812766,T
175486400,569,1,35278,1687,19505,939,8099,812699,T
187166268,4483,70,385538,2173,36350,939,7831,812895,T
426486498,597,20,97311,3492,9635,939,3840,813433,T
040163765,582,10,32592,1655,10954,939,8072,813530,T
499208743,4421,60,269681,8885,8160,939,5849,813332,T
571337074,535,10,108605,3075,11424,469,3908,812871,T
176812458,4670,18,144770,2155,15994,469,3852,813514,T
785332585,4481,80,878276,4346,10385,2349,8142,813362,T
511632783,4394,68,865618,6835,11263,1409,4225,813042,T
835065970,4411,71,952776,3277,42089,939,5667,812974,T
972449536,4430,69,637920,7764,13788,2349,8480,813414,T
888972788,4418,86,914526,3958,19992,1409,7749,813265,T
095399849,4364,65,615324,8507,16320,2349,5656,813398,T
596322385,573,1,37818,1964,19040,939,6262,813169,T
616813451,4378,64,56914,1609,31988,939,4354,812893,T
651452916,532,18,20216,2692,88856,469,5937,813164,T
717723212,4303,56,666965,2604,19505,469,5776,812949,T
321107367,532,1,52668,3087,22848,939,3955,813358,T
414954627,692,1,150164,2835,19040,469,3872,812766,T
893490631,4359,71,217950,3754,11107,469,7958,812793,T
832847943,533,15,41574,1753,30758,469,7955,813108,T
613057627,544,1,30464,5403,47041,939,4627,813538,T
420235750,4487,66,717920,2311,61516,1409,6145,812858,T
376630071,4328,82,134168,1662,25797,939,8086,813143,T
331547964,4453,79,1046455,1974,11263,469,4012,813409,T
640694898,4423,75,800563,1655,14280,2349,6507,812763,T
730910696,668,1,30728,3920,99963,469,6252,813546,T
558062962,4363,92,209424,1945,9408,2349,6449,813370,T
371153439,4423,72,287495,1877,79970,2349,3922,812985,T
232020726,4324,53,782644,1666,99963,1879,7937,812948,T
498671503,4608,20,635904,3111,8985,469,3974,813296,T
226908263,4489,57,89780,3685,24990,2349,4619,813108,T
825475896,4420,55,897260,7997,16320,939,4010,813600,T
075604764,4466,77,459998,2338,17771,1879,4111,813520,T
020440847,4473,57,1033263,1642,10954,1409,3957,812812,T
089661549,4374,68,61236,1964,9087,939,8282,813285,T
565439860,4373,87,647204,2227,24990,469,6617,812723,T
954299307,4314,68,1009476,2278,66642,1409,7661,813228,T
898179366,647,1,29762,2197,30758,1409,3730,812824,T
244981642,4448,91,885152,2345,72700,939,8154,813142,T
739051885,664,1,92960,3538,18175,469,8055,813213,T
864334173,4310,89,797350,2132,11424,2349,4321,813628,T
788990141,689,1,65455,2815,8885,939,5750,813424,T
213132478,4476,68,899676,2438,20505,469,7607,813302,T
183287818,695,1,8340,9996,11760,939,8124,813567,T
046171065,524,1,67072,3920,26656,939,8157,813575,T
181417846,4679,22,369641,2040,11107,469,4537,813146,T
857287121,4403,83,110075,5126,7997,939,6047,813038,T
801064220,4347,61,243432,1999,10122,1409,7774,812944,T
681160742,4434,66,101982,2522,26656,939,6434,813334,T
296366899,4311,53,482832,5880,28561,1879,7737,813446,T
928128473,4436,59,971484,2055,22214,1879,4595,812812,T
424465138,4374,63,800442,5331,17384,1879,5935,812901,T
364213124,4404,54,330300,4518,8788,1879,5592,813285,T
595538238,4449,79,805269,2908,114244,1879,7476,813399,T
417024579,554,1,83100,2167,23520,939,7527,812710,T
824355828,4459,57,169442,1789,19992,2349,6432,813401,T
166288541,632,1,62568,2815,17015,939,4421,812958,T
581598325,705,1,96585,1801,12303,939,7922,813287,T
947894189,566,1,139236,1622,8077,1409,4204,813662,T
649887367,570,3,109440,3186,12495,939,8228,812877,T
032606701,4466,83,535920,4467,19505,1879,4185,813393,T
630642699,4363,91,257417,1635,66642,939,7581,812986,T
