userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
865119054,4586,110,123822,1730,3651,469,7806,813265,T
971187221,4260,74,268380,1730,2110,469,3945,813021,F
766079028,4055,90,227080,1730,15994,469,3859,813592,F
581866915,4356,106,126324,1730,3111,2349,3980,813469,T
170272308,4399,108,435501,1730,7616,1879,8421,812691,T
617316770,4306,76,228218,1730,6247,469,3926,813469,F
044349680,632,27,57512,1730,2588,469,6621,813175,T
789851993,4243,89,237608,1730,2121,469,4390,812771,F
668782564,4359,63,252822,1730,38081,1409,4225,813154,T
381774720,4214,128,227556,1730,1662,469,4239,813427,F
582147770,542,1,22764,1730,4967,939,4396,812857,T
599772003,4095,135,102375,1730,1846,469,3728,813036,F
080706579,4504,21,382840,1730,1895,469,4147,813553,T
671202408,4118,98,317086,1730,2055,469,4521,813064,F
570857155,721,1,52633,1730,2366,469,4584,813038,T
474840881,4217,113,231935,1730,1701,469,4245,812707,F
638919904,4454,118,111350,1730,10954,939,8134,813097,T
435544554,4107,121,406593,1730,2710,469,4703,813657,F
424639473,4365,91,423405,1730,4299,2349,5836,813149,T
514144416,4132,109,309900,1730,8417,469,4052,813314,F
450628542,4583,30,339142,1730,19992,469,4753,812862,T
905798004,4107,135,246420,1730,159941,469,4242,813265,F
604734460,735,2,62475,1730,6346,939,8291,812964,T
150887934,4322,133,263642,1730,1659,469,3956,812852,F
821252925,4485,76,206310,1730,3461,1409,8206,812999,T
032481862,4154,118,141236,1730,1765,469,4423,813262,F
648580620,4452,102,347256,1730,2460,469,6543,813571,T
264989254,4095,92,200655,1730,2674,469,4292,813328,F
786835701,4383,66,166554,1730,21613,2349,5633,813700,T
832598900,4246,129,242022,1730,6609,469,4178,812764,F
091697562,4561,60,405929,1730,2252,939,7753,813114,T
580519832,4155,111,319935,1730,2352,469,4597,813311,F
819879427,4502,83,355658,1730,1635,469,6420,812752,T
728901911,4087,69,159393,1730,2499,469,4219,812799,F
107481898,4172,135,333760,1730,7336,469,4146,812972,F
221664224,4570,72,342750,1730,2155,469,3959,813541,T
086268164,4484,75,349752,1730,3224,469,6231,813542,T
237246044,4279,126,346599,1730,5126,469,4474,812972,F
631706929,4548,67,250140,1730,2252,469,6026,812707,T
763912106,4052,134,93196,1730,2184,469,4743,813681,F
109595265,659,1,20429,1730,3123,1409,4010,813025,T
420447455,4055,76,174365,1730,14029,469,4052,813570,F
913246118,619,21,38378,1730,1989,939,4308,812793,T
609136971,4262,80,238672,1730,4622,469,4618,812925,F
041681642,763,1,35861,1730,2019,939,7586,813441,T
960306557,4068,76,89496,1730,14540,469,4130,813135,F
915072848,4352,83,226304,1730,1877,1879,4072,812870,T
869321731,4297,70,266414,1730,2394,469,4048,813018,F
629569906,707,1,58681,1730,6953,939,5798,813152,T
886659485,4117,74,386998,1730,1805,469,4375,813496,F
612122728,672,1,45024,1730,27576,939,4401,812763,T
594039984,4214,106,164346,1730,11935,469,4157,813517,F
712828935,763,1,32809,1730,2674,469,6039,813150,T
595710934,4088,127,216664,1730,2845,469,4682,813123,F
059178352,4205,105,109330,1730,3198,469,4334,813659,F
704254344,4475,75,335625,1730,1662,939,6408,812834,T
375099578,4542,68,277062,1730,14029,469,6589,813261,T
746800141,4291,116,330407,1730,1859,469,4007,813595,F
876591372,4207,78,189315,1730,1777,469,4467,813442,F
214696373,4565,90,319550,1730,2856,2349,6292,812914,T
790898353,4543,76,358897,1730,1676,939,6549,812947,T
978153085,4257,81,395901,1730,1769,469,4110,812806,F
414802688,4301,82,86020,1730,2149,1409,8128,813320,T
456357652,4272,103,410112,1730,2098,469,3731,813128,F
454334080,4420,98,194480,1730,4369,939,4472,812726,T
060161805,4202,103,121858,1730,3099,469,4579,813308,F
951909993,4678,40,402308,1730,11935,469,3790,813660,T
805184977,4127,91,185715,1730,2554,469,4732,813372,F
204887211,4548,80,359292,1730,2701,1409,3826,812970,T
027213033,4142,81,405916,1730,14809,469,4615,813635,F
278217684,4541,85,163476,1730,2352,1879,8219,813445,T
157324338,4029,98,169218,1730,3123,469,4222,813276,F
507659610,4323,73,380424,1730,3586,1879,7966,812959,T
787450166,4144,78,306656,1730,2579,469,4435,812941,F
011281777,4585,114,229250,1730,2366,939,6319,813515,T
871841591,4061,102,365490,1730,2748,469,4541,812973,F
324562267,4315,96,379720,1730,1936,1409,4215,812881,T
366752823,4292,70,347652,1730,3808,469,3948,813235,F
529222935,4569,62,210174,1730,3476,469,5669,812709,T
004549196,4270,69,315980,1730,1777,469,3862,813042,F
736490310,730,1,63510,1730,1705,1409,4071,813606,T
158322457,4173,131,137709,1730,39985,469,3860,813565,F
151679374,524,17,35632,1730,1642,939,4154,813635,T
870176904,4311,101,155196,1730,4231,469,4131,813399,F
