userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
507946171,3522,43,267672,1311,32582,488,4457,676171,F
532159232,1192,1,249128,1830,34297,488,5999,675911,T
087896778,4481,52,1008225,3997,7577,2442,5925,675710,T
778380663,1365,4,338520,1911,7161,488,4178,676009,T
613674654,4510,30,54120,2659,9050,1953,6844,675810,T
225805864,3343,36,524851,2387,15515,2442,4268,675974,T
356122125,4422,32,437778,4688,24135,1465,6484,675892,T
901455246,4520,33,908520,2535,10025,2442,8564,676026,T
570933635,4378,39,551628,2172,27152,2442,8695,676235,T
246108290,3430,33,346430,4756,14810,1953,4382,676408,T
785802874,4665,57,121290,1566,13299,488,4341,676116,T
451262560,3462,12,363510,2565,6788,1953,4569,676269,T
976945080,3395,49,346290,1338,34297,488,6730,675751,F
343427495,4751,36,76016,1457,7161,488,4723,676187,T
455006068,4430,18,660070,1645,8926,488,8491,676087,T
812584991,3377,16,472780,8926,7666,488,5856,676305,T
988621787,4375,22,1023750,1369,72405,976,5997,676224,T
102964001,4516,45,871588,5012,11636,976,8206,675858,T
701986949,4504,33,288256,2088,50127,2442,6601,675782,T
373499054,3503,15,98084,1351,7240,488,4070,675578,F
411374715,4399,45,237546,1872,12295,2442,4598,676109,T
329062850,3456,16,490752,1377,11848,976,7950,675810,F
998392392,4459,31,182819,2017,54304,1465,8298,675971,T
622899081,3349,34,452115,1504,29620,2442,4096,676308,F
017843769,4419,15,494928,1629,6932,1953,4791,676434,T
363360275,4391,50,329325,3210,7321,1953,5853,675669,T
517182838,4461,31,1092945,1429,7946,1465,8429,675833,T
042700987,3409,50,620438,1662,40728,1465,6693,676256,F
841073042,1231,1,43085,1747,34297,488,8396,675965,T
626775444,4423,49,1088058,1705,7757,1953,6696,676244,T
071697337,4477,24,219373,5716,17148,488,8189,675599,T
109266672,4363,20,43630,3163,10343,2442,5996,675586,T
727660639,4375,47,140000,1710,50127,976,5842,676120,T
421124938,4485,23,408135,2042,6788,2442,6856,675859,T
210553612,3435,51,851880,1386,50127,488,6137,676389,F
977692737,3491,43,761038,3447,12777,2442,6094,675844,T
908835796,3352,26,338552,5131,21021,976,5910,675515,T
347676092,4717,55,301888,5341,14166,488,6454,676368,T
939815063,4383,46,718812,2506,28332,1953,6391,675669,T
349762883,3327,38,119772,3225,16291,976,4051,675603,T
315981270,3373,16,718449,3560,13033,1953,4185,676255,T
933832790,4345,40,829895,4827,12295,2442,8568,675997,T
655909306,3420,44,92340,1474,9726,1465,4460,676284,F
693347778,4474,31,639782,2150,27152,976,6553,675613,T
658128084,4442,38,879516,4315,11044,1953,7916,676471,T
198611401,4425,15,491175,2535,8574,1953,8418,676328,T
837358017,4433,53,381238,1346,15515,2442,6394,676467,T
103381843,4381,24,267241,1374,72405,1953,4078,675920,T
094946509,3442,16,48188,2361,11235,976,7954,675949,T
644481158,3499,40,69980,7851,19166,1465,4047,676071,T
589242193,4387,23,504505,1441,34297,1953,3911,675985,T
