userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
024586725,3409,45,74998,1383,1701,1465,4477,676394,F
133666410,4477,44,255189,1383,1683,1953,6180,676503,T
945422434,4548,50,231948,1383,1526,1953,6017,675960,T
178686193,3521,67,288722,1383,17612,1465,6463,675910,F
760683787,4464,16,200880,1383,2761,976,7917,675737,T
590291702,3538,69,261812,1383,1477,1953,4716,676094,F
821459973,3389,37,284676,1383,1894,2442,4839,675702,F
885321513,4360,56,165680,1383,9726,1953,8244,676253,T
377075717,4351,31,160987,1383,1911,2442,8471,675987,T
380481699,3593,24,93418,1383,1633,1465,3912,676195,F
441738587,1327,1,83601,1383,2387,488,8722,675935,T
556865439,3556,21,156464,1383,5213,2442,4668,675895,F
642726420,4582,55,206190,1383,1386,488,6352,676452,T
569358617,3355,41,177815,1383,2005,1465,6068,676357,F
171400926,3431,37,168119,1383,1501,1465,4120,675607,F
639555345,4358,71,152530,1383,2030,2442,5880,675815,T
814492220,4490,59,395120,1383,5666,976,8520,676335,T
005482296,3507,66,263025,1383,9873,1465,4231,676380,F
061747097,3333,19,233310,1383,2062,488,8013,676014,F
284114179,1389,13,75006,1383,1785,488,4639,676188,T
288789394,3425,16,321950,1383,40728,1465,6071,675761,F
176223803,4363,76,135253,1383,5522,2442,4832,675764,T
114989980,4553,62,437088,1383,2036,488,6449,676093,T
725173019,3452,32,214024,1383,3088,488,8031,676002,F
895137886,4601,48,345075,1383,3324,1953,4541,676372,T
535123608,3486,45,153384,1383,14166,1953,4895,676456,F
406163255,3532,44,162472,1383,1354,1465,4784,676140,F
751076293,4378,71,420288,1383,3745,1953,6573,675628,T
128118982,4559,17,113975,1383,2075,976,6701,676329,T
846565407,3502,16,304674,1383,2845,488,4102,675883,F
332018117,4486,37,174954,1383,19747,488,6198,675868,T
246132509,3380,71,267020,1383,5255,1465,4499,676401,F
930219672,4624,32,448528,1383,1558,1953,8110,675840,T
671297463,3377,11,189112,1383,1389,1953,4716,676475,F
457270682,3372,56,327084,1383,2378,1465,6570,676014,F
301645159,4551,80,273060,1383,3466,1465,6587,676282,T
908206975,3354,68,201240,1383,2670,1953,4115,676458,F
080380686,4335,25,199410,1383,1666,488,7799,675869,T
075079663,4562,30,456200,1383,2378,488,6669,676034,T
903626836,3327,30,286122,1383,6859,488,6446,675794,F
197722017,4483,52,327259,1383,5766,2442,4283,675769,T
390389406,3586,52,319154,1383,6788,1465,4585,676341,F
068497894,4656,62,311952,1383,14166,976,4158,676094,T
683504169,3469,56,301803,1383,1974,1953,4150,675902,F
471223507,4348,39,356536,1383,5091,1465,7770,675631,T
221223987,3582,63,282978,1383,1526,976,4798,675834,F
593178917,3551,54,142040,1383,1340,1465,4100,676131,F
849803712,4600,75,110400,1383,3702,1953,6000,676009,T
243347958,4362,59,87240,1383,12531,488,7777,675700,T
221800014,3538,71,102602,1383,3902,488,6020,676000,F
887194402,4588,42,275280,1383,2344,976,4651,676001,T
976203766,3361,32,282324,1383,3541,976,6759,675845,F
609452924,3354,15,147576,1383,3394,2442,4668,675968,F
877364582,4604,36,276240,1383,4621,1465,7926,675907,T
617737503,3607,16,288560,1383,1574,2442,4371,676083,F
251779252,4461,77,383646,1383,3045,1953,5851,675506,T
268286341,4627,56,411803,1383,9726,488,6329,676372,T
020925509,3374,81,249676,1383,11432,1465,4898,676180,F
359650238,3370,11,239270,1383,23273,976,6497,676024,F
609529623,1417,15,65182,1383,1679,488,8793,675701,T
897657944,4367,83,423599,1383,1477,1953,6832,675702,T
878264106,3325,75,319200,1383,4072,2442,4738,675560,F
248434524,4505,73,360400,1383,2062,488,8428,675515,T
331894859,3439,54,254486,1383,8926,1953,4480,675627,F
644735769,3579,21,246951,1383,1451,1465,6419,675566,F
097321031,4661,73,442795,1383,2122,488,4071,675769,T
206378407,3515,63,158175,1383,2845,976,6449,676120,F
643347974,4681,71,112344,1383,3484,488,6838,675628,T
730596858,4446,58,311220,1383,4557,1953,5848,675564,T
446103325,3349,20,170799,1383,1324,488,6660,676326,F
269734472,3525,59,74025,1383,5522,488,4488,675786,F
935266302,4496,46,413632,1383,6516,1465,5895,675901,T
285339132,4410,83,352800,1383,1349,2442,8744,675855,T
099005186,3506,30,150758,1383,3132,488,8015,675543,F
095274565,4410,55,136710,1383,3194,2442,8706,675608,T
781110307,3419,36,78637,1383,1795,2442,4531,675733,F
812398099,4601,49,414090,1383,3341,488,8167,675983,T
177940790,3421,53,99209,1383,3429,488,7932,675779,F
360783161,4438,81,150892,1383,1756,2442,7931,675508,T
