userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
443887591,2755,26,366415,1241,6425,348,2617,375051,F
213680545,2171,60,334334,3555,45780,1044,3549,375229,T
967307508,2156,65,178948,813,6658,1044,5164,375798,T
456796471,2220,52,290820,1969,3896,348,3634,375718,T
566096860,2244,88,107712,759,17440,1392,3792,375703,T
564275314,2199,86,332049,1769,14086,1740,3667,375589,T
679515269,2767,13,287768,3360,9898,348,2107,375865,T
397082859,2196,60,87840,1804,4115,696,3891,375731,T
131485735,2248,74,332704,1170,4818,1740,4980,375035,T
948160120,48,1,1392,1336,3855,348,2089,375869,T
998898243,2260,62,137860,884,20346,348,3146,375801,T
175968274,2118,70,309228,884,24416,348,4999,375843,T
532620612,2174,55,350014,997,4818,1740,2824,375581,T
844241617,2252,79,146380,1620,5232,348,4922,375085,T
507216131,2143,72,492890,1090,12628,696,3039,375222,T
528348938,2106,70,153738,1140,52320,1044,4764,375330,T
294652938,2132,89,117260,4115,7630,1392,3239,375351,T
625758425,2130,83,438780,1786,5634,1392,4019,375801,T
687677323,2870,40,83230,2001,8517,348,3185,375503,T
452206423,2122,81,466840,1371,10771,696,4996,375178,T
849018288,2932,32,87960,3626,30520,696,3079,375135,T
799499909,2204,64,310764,1189,5307,696,4146,375170,T
005200754,2190,85,536550,939,4258,1740,2667,374955,T
286347929,4397,85,804651,2634,4258,696,2421,374952,T
020076909,4439,99,847849,4412,5016,1392,2890,375363,T
190127611,2156,70,409640,5016,16647,1392,2509,375747,T
695834810,2258,76,237090,1166,73248,696,4646,375903,T
175623870,5,20,800,1204,5466,348,3019,375453,T
625743192,2775,23,249750,3422,4883,348,3077,375865,T
631886762,2264,61,491288,963,52320,348,4489,375273,T
731867008,2209,63,240781,1735,4069,696,2817,375439,T
372101061,2259,78,542160,4209,20346,1044,4882,375628,T
156933236,2212,78,46452,1969,4360,1392,3651,375212,T
995172900,2271,67,220287,1341,21543,1392,5030,375515,T
229626275,11,1,1903,913,10771,696,2602,375016,T
178853486,2157,56,40983,750,4115,696,2211,375341,T
712816349,2209,88,501443,1657,4466,348,2794,375316,T
067354950,2203,92,484660,2525,6104,1044,4102,375861,T
651944268,4358,98,278912,4695,21543,348,4826,375182,T
323739423,2102,61,409890,1565,5907,1740,3245,375835,T
140278404,2167,89,403062,936,30520,1740,2493,375173,T
440800907,2171,81,349531,1080,4635,348,2491,375055,T
385868863,2809,40,536519,3455,6658,696,4193,375310,T
188375703,48,1,624,874,4308,696,2346,375037,T
561610234,2191,59,85449,3026,8323,696,3505,375304,T
277275807,2174,87,308708,1151,15260,348,5008,375739,T
899329390,2214,62,223614,936,5634,348,3738,375404,T
498680555,2882,48,665742,1322,4635,348,2875,375051,F
758678915,2130,79,255600,2260,5232,348,3506,375259,T
927406840,2241,68,443718,1356,5549,1392,2132,375822,T
431069589,2209,74,320305,1361,4308,1392,4178,375754,T
511958754,2128,87,193648,1046,3815,1044,3034,375718,T
341283579,2209,78,501443,2543,5549,1740,3348,375174,T
626435250,2149,78,178367,1037,21543,348,3579,375736,T
513471165,2121,68,301182,917,18312,348,2867,374940,T
825301661,2246,85,85348,755,7630,696,2438,375274,T
924361670,2804,18,64492,1376,20346,348,4139,375523,F
434313785,4269,98,772689,1840,4466,696,3024,375782,F
560109160,2271,75,240726,1074,4466,348,4985,375142,T
393151573,2902,36,258278,1868,4756,348,4009,375286,T
076108267,2931,26,706371,1109,16647,348,5029,375252,F
552650170,2244,89,473484,3184,8517,696,4339,375043,T
