userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
124576257,2375,71,163875,1080,771,1044,4960,375945,T
675794048,2995,39,248585,1080,761,348,2588,375020,F
591133952,7,4,672,1080,911,348,2663,375901,T
388041474,2993,26,290321,1080,1719,696,2276,375476,F
927873882,2356,62,82460,1080,1224,348,2234,375917,T
911722174,2857,34,205704,1080,956,348,2255,375488,F
520629284,2213,107,208022,1080,817,348,2923,375456,T
696788693,2887,30,228073,1080,867,348,3268,375491,F
976675891,2320,98,109040,1080,785,696,3083,375753,T
233257211,2964,19,207480,1080,73248,696,2695,375615,F
668016572,2370,95,180120,1080,19275,1044,3135,375321,T
729136480,2842,16,264306,1080,3103,348,2084,374995,F
329251484,2181,54,128679,1080,906,348,2983,374954,T
785361821,2773,26,174699,1080,791,348,2923,375781,F
391982904,2144,88,79328,1080,997,348,5142,375390,T
097707697,2839,24,184535,1080,830,696,2206,375756,F
508443881,2302,120,112798,1080,3626,696,2994,375537,T
214765750,2764,26,71864,1080,1526,348,2792,375143,F
386085634,189,4,15876,1080,4209,696,2375,375435,T
974751747,3033,19,254772,1080,3052,348,2650,375850,F
481447843,2326,63,188406,1080,1148,348,2725,375775,T
576200969,2991,40,284145,1080,4115,348,2233,375070,F
828876157,2192,52,89872,1080,5634,1392,3527,375466,T
066826448,3022,14,181320,1080,752,348,2049,375041,F
551402811,2302,72,161140,1080,2332,696,4457,375844,T
972746088,2802,22,224160,1080,1126,348,2455,375088,F
872182604,2084,54,108368,1080,61040,1392,3268,375164,T
759031726,2857,11,168563,1080,812,348,3288,375077,F
464104906,2297,112,199839,1080,8932,1740,3981,375777,T
718073803,2798,46,193062,1080,13080,348,2627,375264,F
532005391,2114,106,131068,1080,1322,1392,2258,375311,T
626592890,2882,19,57640,1080,5385,696,2311,375413,F
038384044,2350,84,235000,1080,893,348,3581,375153,T
000848111,3000,37,150000,1080,1382,348,2269,375788,F
254279084,2249,87,53976,1080,1408,1740,3244,375572,T
240309831,2902,22,168316,1080,7961,348,2111,375263,F
425515646,2350,52,176250,1080,2795,348,5122,375068,T
386741720,2825,24,166675,1080,913,348,2203,374969,F
844975299,2219,52,126483,1080,1011,1044,3487,375171,T
100598051,2923,18,113997,1080,824,348,2283,375599,F
374426318,16,21,528,1080,920,348,2171,375175,T
552477012,2862,18,217512,1080,2861,348,2055,375513,F
587591573,2999,22,110963,1080,1551,348,2121,375110,F
190073348,2317,69,171458,1080,1040,348,3992,375588,T
463835030,2110,117,135040,1080,2906,348,4434,375111,T
227936477,2974,44,101116,1080,766,348,2535,375248,F
201578908,2248,93,89920,1080,4695,1392,4935,375108,T
484040876,2841,11,79548,1080,1220,696,2230,375265,F
519841596,2200,99,99000,1080,3699,1740,4737,375200,T
726301831,2781,14,189108,1080,1096,348,3018,375507,F
572740473,2306,56,159114,1080,2579,1044,3576,375320,T
467475338,2773,43,155288,1080,859,348,2565,375827,F
621793443,2185,85,163875,1080,2561,696,3390,375661,T
694695315,3003,37,129129,1080,12208,348,2552,375251,F
118670259,2245,94,150415,1080,1695,1740,3731,375214,T
878096923,2970,15,207900,1080,1777,348,2740,375763,F
543968110,2194,111,215012,1080,3212,1392,2506,375570,T
470678634,2781,23,147393,1080,5907,348,2463,375067,F
376536706,2291,85,128296,1080,1627,1044,4736,374970,T
605192396,2847,22,182208,1080,1897,348,2674,375536,F
430104892,2373,83,220689,1080,4115,1392,2744,375112,T
223266652,3017,12,250411,1080,849,348,3336,375241,F
648685546,2269,65,181520,1080,2579,696,5070,375550,T
867973602,2884,14,248024,1080,941,348,2856,375531,F
012709127,2298,66,98814,1080,8517,1392,3056,374968,T
927174921,2839,50,181696,1080,895,348,2556,375647,F
555232563,2112,59,67584,1080,958,1044,3832,375003,T
423456310,2970,43,294030,1080,9637,348,2185,375867,F
