userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
562389028,306,3,40086,1002,7900,384,3857,426028,T
136499703,3887,41,761852,1858,6963,1921,4266,426068,T
707755865,3891,15,147858,1180,5627,1537,4316,425735,T
920468338,1924,74,481000,973,9336,384,3924,426160,T
801503621,2070,83,196650,1267,8055,384,7913,425880,T
112621746,1975,90,325875,4192,12082,1921,5881,426029,T
651689211,2053,54,459872,1300,5405,384,4240,425638,T
359773448,1933,57,317012,3184,4417,1537,4683,426604,T
166967331,1957,67,60667,2489,22823,1152,4818,425875,T
242906567,3028,116,678272,2307,17391,605,3371,698254,T
296046733,217,1,13454,2583,10533,384,6692,426367,T
367216166,3845,31,719015,872,11737,1537,6555,426351,T
134791776,3742,16,755884,1147,7751,384,4538,425752,T
603578816,3725,43,834400,3839,37347,768,5913,426485,T
604369092,3919,14,207707,1024,17861,1537,5922,426018,T
481706301,1962,74,396324,1006,5010,1152,6086,426608,T
534863646,1980,88,336600,2616,37347,1921,5771,426136,T
356280051,2004,79,36072,1793,4776,1921,8491,426464,T
036682805,3062,132,731818,1893,11411,768,4569,425809,T
394133153,3828,23,451704,1472,15215,768,4045,426340,T
101931359,2088,56,302760,1163,9129,768,7806,426167,T
303540209,3871,24,704522,1711,15215,384,7978,426445,T
673635898,2062,91,103100,2976,8740,1537,4312,426265,T
533853780,224,1,30464,1893,11103,384,5835,426300,T
285498980,1978,69,49450,1402,82164,1152,8081,425955,T
872928807,2045,57,196320,3065,31601,768,7891,426087,T
793159738,1967,71,41307,1834,5477,768,4332,426277,T
627863409,3037,132,388736,3423,5786,384,4166,426498,T
554151141,3829,22,61264,1456,82164,1152,6150,425833,T
155155929,1992,77,107568,4615,17117,768,8371,425883,T
773205126,3040,132,161120,1131,68470,384,4470,425974,F
667788860,2059,83,391210,1928,4949,384,5801,426471,T
146314815,1911,66,128037,4417,68470,1921,4613,426444,T
445828617,1993,76,430488,2872,13252,1152,4780,426154,T
573000680,1998,90,171828,1656,18673,1921,8679,425694,T
832496130,2942,125,123564,3734,25676,384,4118,426153,T
698899021,3071,107,718614,2757,22823,384,4114,426567,T
144947141,2051,54,428659,2064,10811,1537,8336,426574,T
185810802,2055,90,121245,980,4615,384,4273,425904,T
608773155,2017,74,90765,1056,25676,1921,6438,426102,T
370587883,1912,54,225616,2321,58688,1921,8258,426555,T
960988494,3884,14,547644,914,10020,384,8343,426427,T
675869321,190,1,39710,1711,13694,384,6416,426164,T
715534293,1949,86,120838,1456,10811,1921,8667,426031,T
186403100,3757,17,75140,1499,4370,384,8246,425666,T
737249331,2082,76,374760,1649,5071,1921,7839,425686,T
653804767,3873,5,883044,1125,5627,384,8530,426451,T
241451462,1989,93,216801,904,6041,1152,4635,425864,T
294715531,3797,19,337933,868,7607,1921,4605,426551,T
522833778,220,1,19360,889,20541,384,4466,425993,T
642932551,3062,136,695074,1387,22823,768,3801,425653,T
364948659,3731,19,899171,1075,9553,1152,6735,426539,T
160055715,3794,41,390782,902,5477,1537,5849,426585,T
424532379,2083,93,412434,2139,7336,1152,5921,425702,T
251670331,1987,84,468932,1177,6626,1152,6094,426282,T
441556652,3869,27,61904,925,9336,1537,5867,426492,T
918482678,307,1,11666,4776,4776,384,5896,425892,T
971019951,1942,72,386458,850,6520,1921,7890,426142,T
856636206,2938,104,584662,2173,4564,768,4783,426525,T
356374852,1993,74,25909,859,22823,1921,6316,426264,T
683039791,3777,37,389031,1467,15800,1537,4821,426550,T
604857536,2072,73,387464,1153,4949,384,5843,426411,T
990667651,1974,84,114492,1369,7083,1152,5846,426090,T
704194041,3861,27,88803,1676,5627,1152,4295,426259,T
128807667,2086,66,39634,823,4890,768,8681,426217,T
223374199,1904,68,432208,1748,4615,384,8356,426070,T
662028345,1968,90,458544,3367,8384,1152,8205,425648,T
636727290,2059,79,154425,906,10270,1152,6103,426139,T
537203693,2100,69,258300,4668,8930,384,6299,425930,T
763527533,1985,70,258050,917,11103,768,3846,426577,T
160823748,1958,93,123354,1222,4949,384,4752,426406,T
775446550,3777,43,419247,2064,4514,384,5801,426416,T
028581410,1928,66,482000,4668,13252,768,6218,425900,T
362708103,3873,16,813330,3065,9336,384,4484,426348,T
626563215,145,1,35235,5405,41082,384,5946,426096,T
886503165,3787,16,231007,2567,17117,1537,4552,426621,T
772627414,2045,56,204500,2374,5868,1921,8316,426524,T
873304040,3059,108,223307,3481,34235,768,4483,426117,T
073535601,3859,20,787236,1947,14166,384,4103,426268,T
056036787,276,1,66240,1550,4192,384,6631,425806,T
908257228,3798,22,497538,1793,8216,768,4797,426588,T
742870701,1975,62,25675,1956,4722,384,7650,426146,T
945348844,2095,77,165505,1477,4722,768,4695,425894,T
614246182,3825,17,436050,833,4564,768,8513,426529,T
185629345,3851,31,304229,927,22823,1537,4317,426481,T
328043685,1935,91,114165,1163,24165,1537,7687,425915,T
037218763,3083,113,672094,2616,4192,384,4808,426614,T
921194141,1980,70,293040,1817,6847,1537,6257,425697,T
086438114,3789,9,788112,824,82164,1152,6610,426343,T
605222535,3817,6,801570,4514,12082,384,4824,426390,T
040172196,1977,90,472503,1387,4417,384,3811,425650,T
389509802,3845,28,730550,1493,12838,384,6759,426578,T
994298292,2100,86,329700,964,6224,1152,4693,425628,T
796571002,1916,66,88136,912,68470,1537,4776,425856,T
252521930,2058,80,34986,1446,6224,768,6291,426230,T
230514799,3915,26,58725,3701,4108,1152,4280,425703,T
779782530,1922,88,153760,1406,17861,1537,6622,426398,T
394042479,3826,37,849372,1333,5786,1152,8130,425956,T
371880383,3756,10,86388,1131,13694,1537,4404,426545,T
426010980,3770,14,150800,1778,10270,1537,5992,425953,T
724666989,3873,10,240126,3160,8740,768,3931,426545,T
858463120,1919,67,456722,1928,10533,1152,5791,425959,T
966887948,1910,74,24830,946,14672,1152,3804,426515,T
723461778,2103,75,109356,4514,4235,1921,3913,426147,T
383548905,1919,54,303202,1378,6734,384,6347,426571,T
164191393,3898,41,526230,2074,8384,768,4113,425669,T
898399114,2072,78,437192,3160,11103,1921,6422,425718,T
919974784,2083,81,362442,1483,7607,1152,6152,426210,T
893606671,1922,67,280612,1355,16432,1537,4309,426222,T
782110077,3826,28,321384,1431,6041,1152,7943,426057,T
346455850,3793,25,163099,1312,4776,768,3882,425905,T
505867350,3867,4,293892,1378,17117,384,6467,426318,T
352141902,3882,34,791928,2852,5200,1537,3865,426479,T
379653026,148,20,33004,1656,4235,384,4531,425757,T
380039523,1976,89,223288,2307,5405,1152,7885,426550,T
383838908,3838,16,322392,1676,15215,1152,4651,426518,T
625366024,3732,16,298560,5335,6041,768,4713,425630,T
375621497,192,1,27072,3803,4324,384,4520,426064,T
497446599,2101,61,365574,1676,18673,384,6661,426298,T
342816400,3915,6,708615,1279,9781,1921,4433,425771,T
644079109,1998,78,443556,879,5266,1152,3858,426206,T
383423657,3084,126,468768,4564,8930,1152,4166,426477,T
711802619,2999,120,647784,5135,5868,768,4804,425747,T
121922669,3737,35,511969,2064,4149,384,8121,425888,T
156742596,327,1,6867,1910,10020,384,6578,425746,T
259042648,3758,15,706504,1081,4417,384,5738,426159,T
131281509,2058,86,240786,1053,19562,1537,6119,426013,T
571969974,1950,71,134550,1515,6131,384,3797,425860,T
385954575,3824,24,317392,1180,21622,1152,8407,426163,T
363826586,1951,73,398004,2551,10811,1537,5998,426604,T
463439981,1931,77,164135,2738,4514,1921,8195,426399,T
256742554,3096,132,764712,1128,4833,1152,4273,425679,F
523542659,2026,57,141820,3803,9553,1921,5730,425691,T
060528177,3731,29,190281,1291,82164,768,3914,426199,T
502700553,2056,72,224104,919,4149,384,4802,426119,T
888033123,3046,122,520866,868,6734,384,3793,425858,F
422637663,1992,76,215136,1825,5953,768,8389,426444,T
188530359,1989,87,198900,3839,4192,1921,6588,426300,T
453530855,3748,44,108692,855,6963,768,6106,426276,T
312590239,1969,67,271722,2232,18673,1921,4295,425656,T
892143198,3786,15,215802,1194,7469,384,7677,425924,T
800616434,1954,61,298962,2282,22823,1921,4067,426002,T
412032522,3831,8,693411,1416,15215,384,4178,426414,T
241702351,2095,60,372910,874,4324,1537,4684,426142,T
748877059,2931,134,143619,1919,5071,384,4312,426244,T
681499237,1924,84,457912,848,7900,1921,4582,426105,T
739456168,3730,29,294670,881,6224,1152,8245,426058,T
112319786,2010,70,389940,1144,19562,1152,4717,426327,T
467445901,1963,83,41223,1623,16432,1152,8502,426032,T
216913616,2020,65,155540,1718,6520,1152,4219,426051,T
572150111,257,3,18761,917,4776,384,6154,426355,T
113051518,1979,60,421527,4108,5551,1152,3835,425920,T
045258426,2059,90,317086,2567,4279,768,3825,425930,T
943760246,2043,82,263547,854,4564,384,7685,426260,T
205531147,3736,14,896640,1056,5551,1152,8053,426513,T
817689659,3073,124,224329,1965,8930,384,4312,426501,T
467260189,3792,5,356448,857,29344,768,5838,426222,T
154634689,1905,59,85725,980,4833,768,8017,425812,T
909498911,3848,35,684944,3043,11411,768,6201,425767,T
057334935,3804,17,505932,948,12082,1921,3813,425803,T
473687502,3842,8,814504,1834,4149,1921,4518,425652,T
279964253,3801,18,383901,3875,6847,1152,8030,426537,T
955122062,3846,21,523056,3452,4417,1152,4429,426226,T
575951495,2033,61,453359,1016,41082,768,4781,425841,T
152656034,2081,82,243477,2520,27388,384,4423,426463,T
104210236,1913,69,65042,1910,10020,768,5747,426120,T
079185952,1928,56,437656,1056,8930,1152,8654,425637,T
850421759,3802,11,665350,2852,6626,384,8290,426553,T
049457905,3746,10,292188,3340,4722,1921,5801,425992,T
824004559,3751,5,611413,1113,8930,768,8596,425878,T
571568837,3843,38,511119,1763,5200,384,4741,425796,T
289196492,340,1,15980,855,7336,384,4202,425961,T
826666037,2090,54,140030,1075,17117,384,8229,425710,T
146447558,2068,82,380512,2489,5135,1921,8328,426332,T
897200109,3898,14,101348,4324,4417,1537,5739,425838,T
872931185,3872,36,758912,1884,6419,1537,3964,426618,T
725967204,3106,123,34166,2321,5705,768,5934,425752,T
500555979,2044,58,329084,4027,51352,384,8149,425631,T
415408923,227,5,16344,2196,7083,384,6547,425710,T
327020364,3766,26,802158,964,51352,384,3838,426389,T
261013006,2069,68,413800,1740,7900,1921,8200,426368,T
856071964,3730,8,630370,2139,10020,1152,3908,426044,T
637806245,3811,6,674547,2934,7751,768,4654,426031,T
240764445,3796,13,914836,2085,7336,768,7786,426537,T
750770269,1985,60,216365,2474,45646,768,8136,426623,T
729635449,1951,81,296552,1190,8558,384,5941,425669,T
817747138,1923,88,473058,1544,7083,1921,3829,426027,T
371280490,2081,55,185209,1201,6626,1921,4639,425840,T
625797500,3845,37,569060,4949,4370,1921,4840,426602,T
018693463,3871,13,720006,992,4465,1537,6222,425619,T
623085292,2015,89,217620,1329,4370,1921,7715,426040,T
705319415,3762,10,188100,1050,6224,1152,6001,426372,T
381876907,2009,89,36162,3043,4279,384,8252,426265,T
695959713,2011,58,164902,1842,15800,1921,6083,426490,T
946314885,3118,103,707786,1032,4108,768,4323,425723,F
811869625,2053,62,480402,1095,25676,768,4383,426402,T
971862114,2046,85,511500,893,4668,1152,7698,425943,T
649463351,2045,61,443765,1392,9553,768,8459,426090,T
118701846,3775,28,596450,2757,4949,768,8380,425742,T
525200122,3900,9,74100,843,5071,384,8271,426369,T
225713194,2042,80,196032,1431,6963,768,8262,426343,T
330146461,3041,113,352756,1598,51352,768,4640,426319,T
672596766,2013,56,322080,1483,51352,1921,4767,426495,T
306550094,2078,72,344948,881,10811,384,4275,426588,T
605142368,3753,23,645516,1515,4722,768,6178,426236,T
780194980,3746,38,63682,985,10270,1537,4358,426085,T
985174345,1982,61,27748,854,29344,768,6758,426294,T
502894065,2033,86,406600,877,15800,384,4239,425814,T
279716627,2048,67,296960,919,17861,1152,5742,425644,T
858236144,2014,62,467248,2220,7900,768,6604,425630,T
416326744,169,1,29575,843,10270,384,4810,426534,T
724258551,1928,86,75192,1697,6626,1152,6728,426584,T
793128888,2076,92,159852,917,4370,1537,4074,426297,T
117742681,3771,31,908811,841,5868,384,3879,426200,T
646705499,2061,82,105111,1119,5135,768,8240,425701,T
534450237,3902,18,128766,1308,8055,1152,4305,426124,T
146278097,1969,74,175241,2934,16432,768,7920,426033,T
419293450,214,1,46010,3184,45646,384,4713,426211,T
964824303,3788,32,68184,1406,7751,1152,4137,425626,T
865257096,185,1,26455,1369,21622,384,5811,426395,T
222776683,2001,90,432216,3286,6520,768,4250,425752,T
525407234,2952,118,41328,4027,4417,384,4272,426312,T
710665380,2050,70,325950,1167,14166,384,6006,425786,T
901030176,3726,29,171396,1392,10020,768,5766,425910,T
845077638,3875,34,391375,1029,8216,1537,4673,426332,T
665489854,1959,87,293850,3367,68470,1537,8194,425776,T
240080558,1967,54,474047,1037,4833,384,8621,425826,T
861322996,3842,12,142154,891,8740,1537,6747,426554,T
301504632,2002,55,212212,2775,31601,1921,6599,426217,T
541200566,3845,33,207630,868,5868,1921,6728,426176,T
034585655,316,1,66676,1568,4564,384,6227,426502,T
435763254,2009,61,106477,902,5405,1537,7916,426390,T
692660776,3749,10,727306,3668,4514,1152,4243,426143,T
029446046,1996,73,113772,1397,5200,1921,4351,426331,T
102754636,3113,121,189893,5200,51352,384,6296,426479,T
888787041,2067,56,163293,1237,12449,1537,5966,426421,T
475609139,3815,30,598955,921,5627,384,4585,426273,T
602497320,3872,42,596288,1173,4564,1537,4690,425617,T
465618651,3793,30,276889,1387,5705,768,6136,425910,T
843210993,1938,54,275196,2307,4722,384,6335,426590,T
546627955,2037,65,144627,1778,15215,768,6345,425865,T
149129072,3747,42,198591,5071,4615,1921,4173,426596,T
109219373,2965,122,56335,5705,17861,768,5827,426020,T
537059908,2051,72,416353,1083,6520,1921,5949,425748,T
550908258,3812,8,76240,1975,37347,1537,6023,425809,T
535636192,3862,32,505922,1002,9129,384,6573,425619,T
009351625,3882,37,159162,1107,5786,384,4364,426138,T
103908607,1994,89,23928,833,8558,1537,4665,426338,T
142476338,299,4,35282,1233,6626,384,4178,425966,T
611920362,3823,36,569627,1233,4417,1152,7668,426244,T
304369271,3747,12,719424,1177,16432,768,6305,426415,T
034887200,2058,71,230496,2474,11737,384,6349,426030,T
327651955,3767,15,519846,3395,31601,384,6020,425935,T
430055994,330,1,40590,2096,5705,384,7871,426562,T
205435895,162,1,25758,4890,6734,384,6129,426059,T
970508959,3882,41,869568,861,10020,1537,4217,425637,T
324657901,1905,75,358140,1411,5551,1537,8344,425890,T
958066425,3853,42,427683,2852,27388,768,4511,425988,T
170175062,2982,133,590436,850,31601,384,4786,425874,F
887508317,3879,43,290925,3839,4417,384,4511,425754,T
392572097,3079,129,751276,1351,17117,384,3932,425657,F
147292751,3886,43,866578,921,6626,768,7816,426424,T
167222066,3766,18,395430,2128,6131,1152,4072,426539,T
442786851,1964,87,92308,1312,7083,1921,4008,426536,T
990295356,3035,109,206380,999,68470,384,4696,426199,F
471295699,3853,17,928573,1067,17117,1152,4203,425715,T
767592849,3765,30,591105,931,4324,384,6377,426596,T
225318219,3869,17,50297,1027,4514,768,4040,426469,T
722907135,2002,87,276276,1726,5405,384,4386,426246,T
634746505,3863,28,197013,2085,24165,768,3890,425970,T
731502850,1937,73,19370,2489,4564,1152,8572,426056,T
300338018,1994,73,378860,937,10270,1921,7747,426533,T
557089263,3821,32,61136,1222,8740,1152,4582,425853,T
092080920,2047,72,509703,1499,82164,1537,7695,425663,T
977066162,3817,13,110693,1141,25676,768,5992,426586,T
043384338,2058,83,265482,937,29344,1921,6550,425999,T
138321612,2057,68,339405,4949,4108,768,6255,426125,T
239795028,1990,66,274620,982,5200,1537,8155,426589,T
550407838,2102,83,401482,1187,4192,384,5825,425895,T
834739404,3837,5,813444,2321,4465,1537,6485,425632,T
245260254,3723,29,800445,3572,5135,768,6219,426593,T
290098175,2033,84,504184,872,4370,1537,4307,425845,T
326944095,3743,9,662511,1355,7083,1921,4075,426219,T
621678223,1913,74,411295,4192,6520,1152,6573,425710,T
621015994,3734,23,481686,3701,14672,1921,4175,426059,T
823556465,3900,27,390000,4149,7207,768,4752,426014,T
920153667,2002,75,370370,1786,8055,768,4296,425949,T
862319751,1977,92,312366,5405,11411,1152,4155,426037,T
030033265,1985,60,57565,1125,4149,384,8398,425731,T
124619848,3859,29,933878,1208,9553,1537,3957,425770,T
454208174,3005,130,459765,1825,14166,384,4418,426374,T
250227065,317,5,65936,861,9129,384,4097,425848,T
864518577,2956,136,44340,4615,37347,384,5751,426146,T
295764462,3729,7,190179,957,19562,384,5741,425889,T
770693290,2089,85,275748,845,5200,1921,6525,426098,T
374300451,2014,90,322240,2334,4722,1537,6638,425936,T
269329192,1941,84,267858,1197,9129,1152,6587,425667,T
193454826,3732,9,373200,1499,4108,768,6697,425899,T
837748290,3837,35,752052,966,9129,1921,4537,426460,T
252494357,3743,36,520277,4668,6224,1152,6157,425870,T
130290136,3728,20,928272,2616,8055,768,5723,426129,T
246214309,3103,125,409596,1040,17117,384,4551,426105,F
807486290,3763,30,383826,1726,15215,384,4648,426111,T
798495683,2088,61,231768,906,4668,384,6278,426499,T
788167544,3802,7,136872,2667,7900,1537,6731,425947,T
296183039,1939,82,126035,1256,11411,1152,4651,426128,T
296823282,1981,62,101031,1075,4722,1921,4097,426488,T
658105685,2032,94,79248,2347,22823,384,4694,426387,T
899599289,2076,81,359148,2833,5627,384,6097,425881,T
626858242,2049,94,188508,1138,7751,1537,3892,426441,T
169186442,3028,116,635880,2033,14166,1152,4012,425829,T
246516870,1909,55,469614,2650,11103,1537,8293,425943,T
264915595,3780,21,865620,1643,31601,1537,4789,426025,T
896301930,2102,68,216506,4949,4192,1921,7693,425724,T
378988269,3734,9,761736,877,18673,1152,3933,426145,T
031853455,1920,77,462720,2633,4833,768,6361,425657,T
144039402,3108,112,593628,994,31601,384,6273,425983,F
894285105,273,16,40950,1984,7751,384,4025,426052,T
687149567,3805,21,677290,3313,8930,1152,4163,425710,T
773679701,3803,24,619889,3234,6131,1152,3940,426304,T
602471243,1995,77,365085,3340,4149,384,8613,426187,T
233467663,3844,14,88412,2430,5786,768,6555,425933,T
290673084,3871,8,650328,1499,4192,768,5848,426500,T
260224496,3738,11,732648,3234,10020,768,4460,426140,T
137368232,3869,7,92856,1138,5335,384,3850,426090,T
061009537,3728,36,328064,912,18673,384,6193,425925,T
340627184,331,1,45678,4668,11103,384,6748,426116,T
841345748,3827,33,214312,973,8055,384,5968,425963,T
897555947,3089,132,670313,2185,7336,1152,5774,426185,T
026913911,3810,4,891540,1623,4514,384,4440,426613,T
085487278,1931,85,446061,2445,6041,1537,8237,426211,T
218536989,3005,111,742235,1131,9336,1152,4395,426369,F
166345242,3812,25,602296,1416,82164,1537,3987,425802,T
830199705,3784,14,393536,1004,8384,1537,4209,426556,T
987096685,1919,66,412585,2955,15800,384,7686,425625,T
337737119,3892,9,653856,1670,6626,1152,4671,426181,T
613984661,1908,72,364428,1089,8055,768,8590,425793,T
989073182,1927,80,414305,1901,6131,1921,8254,426174,T
288792927,1945,76,46680,1256,7607,1921,3897,426130,T
013598116,2017,84,302550,1237,7900,1921,4437,426362,T
165377568,3885,40,388500,1190,4417,1152,4093,425963,T
373843968,1923,91,153840,1604,19562,1537,5747,425820,T
831051585,1988,86,196812,1355,7469,1152,4782,425803,T
637423464,2094,66,274314,1884,5705,1537,8121,426219,T
159975665,1985,77,35730,1004,6419,1537,4630,426550,T
626390645,248,4,18352,1604,4514,384,6244,426210,T
998634999,1971,63,114318,1426,7083,1537,5831,426415,T
229237989,144,6,29088,1014,12082,384,4035,425649,T
923483630,3725,34,897725,1704,6419,768,6167,426139,T
141490931,3882,25,415374,1426,82164,768,6739,425944,T
359126028,2102,57,178670,2520,15800,1537,6519,426125,T
377487151,1996,58,101796,2074,5705,1921,7897,425773,T
238855027,3862,4,220134,896,21622,768,8105,425890,T
666590059,2050,79,219350,2702,15215,384,8355,426395,T
667919560,3030,127,663570,2757,9781,384,5801,426106,T
400411108,2037,93,215922,1683,25676,1537,7895,426023,T
866977810,1970,73,462950,1190,6224,1152,6738,425736,T
663046750,2061,75,395712,1325,6041,1537,8176,426003,T
909857723,3839,24,330154,879,68470,1152,6727,426503,T
550950206,1966,63,190702,1817,41082,384,3882,425807,T
613684093,3919,17,568255,3160,8055,1152,8521,425985,T
397076322,3852,17,573948,966,10811,768,8535,426038,T
441076998,2056,62,180928,1009,18673,768,8335,426584,T
867380003,2020,68,135340,1040,11411,1921,4697,426169,T
021226857,3781,42,306261,868,14166,1152,7806,426613,T
351137237,2080,74,168480,929,11737,384,8247,426072,T
575336116,3793,25,648603,1045,19562,768,4370,426093,T
402077145,1952,59,115168,2173,11103,768,8351,426612,T
612355289,1969,87,299288,2535,8384,1152,5741,426168,T
711459186,1911,69,87906,1770,58688,384,4492,425923,T
016429829,2035,90,175010,3668,6419,384,5737,425704,T
720804558,2012,91,183092,1406,68470,384,5919,425786,T
444218850,3786,34,389958,1544,19562,768,7901,425673,T
894494700,1986,70,137034,1308,5010,1152,5965,426230,T
570472719,1936,93,313632,917,7751,1537,4463,426563,T
405912849,2048,63,235520,891,24165,384,7942,425704,T
465799481,1927,71,368057,1116,20541,1921,7646,426474,T
288197852,2010,87,184920,1697,6963,384,4032,425618,T
055000447,3793,13,690326,1006,82164,1537,4664,426076,T
280117525,3859,19,605863,2685,7900,768,8194,426585,T
929865574,1969,88,360327,908,7900,384,4455,425712,T
083027023,1954,89,87930,1119,58688,768,4832,426270,T
993676450,2103,74,424806,1858,6520,1152,7763,426445,T
589892650,2099,70,507958,2650,5405,1152,3942,426449,T
388072779,3852,15,793512,3367,4465,1152,4834,425689,T
782676756,3758,44,623828,2282,13694,1537,4238,426146,T
329126425,1906,92,28590,1346,4722,1921,4288,425656,T
785364710,1969,89,324885,1825,5071,1537,8559,425674,T
626886998,337,1,72455,1477,13694,384,4026,426158,T
650531279,1921,89,322728,1110,51352,1921,6636,426000,T
426094412,1933,88,143042,1965,5071,1921,5981,426422,T
075033870,3769,11,241216,1167,37347,1921,4276,425987,T
356609881,1929,62,391587,855,4890,768,5790,426247,T
855701795,228,1,33516,1048,31601,384,6549,426242,T
387501986,3003,98,636636,3950,7469,768,5791,426084,T
360816476,3900,20,335400,868,13252,384,5932,426236,T
366682692,3094,125,179452,3088,5477,384,4010,426184,T
580003434,1954,83,420110,1809,4890,384,7893,425657,T
379062146,2007,62,234819,1029,7607,384,4604,426175,T
905023466,3856,21,262208,2282,9553,1537,6033,425978,T
823406315,3909,8,433899,1472,7083,1921,4247,425615,T
497399829,1956,63,125184,3423,7336,1921,6089,426049,T
642248794,2051,69,283038,1456,9336,384,5816,425905,T
396792018,3729,41,596640,1222,6626,1152,4838,426085,T
588200567,223,1,23415,1711,12838,384,4481,425713,T
926824826,1949,57,189053,3701,5627,1921,6201,426034,T
334359720,3831,9,842820,3701,4108,1152,8311,425862,T
692759889,2057,90,452540,1763,4192,384,8234,426409,T
094246622,3886,38,691708,900,7469,384,6735,425949,T
174658215,3879,13,205587,1538,10270,1921,4788,426490,T
382752082,3763,41,820334,2074,5953,1537,4626,426530,T
001132736,3730,14,414030,940,17861,1152,6756,426233,T
711462753,319,1,58696,4324,10020,384,4363,426029,T
294680904,3000,116,618000,1050,41082,768,4691,426457,F
001894578,2006,80,308924,1048,27388,1921,4148,426049,T
493570351,3824,41,871872,1110,6963,384,5828,426186,T
665576602,2004,58,312624,1483,9336,768,6218,425743,T
395620288,2993,110,556698,953,10270,768,4671,426108,F
579938232,3842,4,833714,1069,7751,768,4739,425735,T
980740500,2073,57,74628,908,4465,1921,4319,426566,T
081682386,2061,94,290601,1901,4235,768,4292,426241,T
879207238,3858,7,497682,2998,8558,768,5901,425988,T
463641043,3731,22,317135,2295,9129,768,7724,425980,T
850263763,1983,68,271671,3136,10020,1537,6152,425807,T
570998171,3911,4,559273,5551,4279,768,8326,426557,T
975188719,3809,35,761800,1264,4514,1537,6073,426465,T
640189998,3737,25,762348,1107,9781,1152,7852,426029,T
397764063,1931,69,231720,1056,4776,1537,8038,426418,T
809200916,3118,135,520706,2738,7336,384,5935,426242,T
182519079,2946,116,491982,1237,4192,384,4037,426113,F
237499997,1912,75,68832,5868,29344,384,6632,426372,T
095211046,187,22,30481,1260,7751,384,5973,426499,T
400058592,3729,9,70851,2043,6419,1152,6742,425717,T
700458060,2084,65,331356,1611,14166,1152,4679,426277,T
098005832,3879,5,415053,1252,8216,1537,4661,425740,T
430066540,3905,20,823955,2096,14672,1152,4196,425829,T
921774127,3899,25,655032,1604,5551,1537,5901,425742,T
248700255,3909,12,598077,2551,4235,1152,4501,426046,T
587609330,3774,42,173604,2004,51352,1921,4238,426285,T
274133451,2032,73,87376,1488,4235,1537,7814,426503,T
