userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
957100629,2023,74,76874,1110,1397,768,6617,426363,T
014337481,3047,127,222431,1110,34235,384,4697,425693,F
342569928,2034,60,83394,1110,937,1921,6760,426104,T
984853148,3049,143,250018,1110,25676,384,4540,426157,F
775961526,2138,58,203110,1110,1244,1921,6440,425754,T
235984482,3057,161,256788,1110,51352,384,3821,426515,F
043836339,3050,150,295850,1110,12082,384,4088,425967,F
460169996,1911,79,82173,1110,4722,384,3968,426217,T
123871806,1913,123,72694,1110,1190,384,4759,426184,T
968527049,2995,155,197670,1110,11411,384,4214,426492,F
845021490,3812,10,171540,1110,1014,1537,5913,426062,T
346259784,3049,146,295753,1110,27388,384,4310,426259,F
343726292,2072,102,97384,1110,2269,1152,4034,425795,T
790240806,2993,164,116727,1110,14166,384,4797,426338,F
913964255,3895,25,116850,1110,5477,768,4578,426396,T
988477630,3051,111,234927,1110,45646,384,4352,425748,F
468005610,3744,9,127296,1110,1021,768,6112,426235,T
647018937,2950,121,129800,1110,24165,384,4281,426016,F
136903729,3903,16,269307,1110,1910,768,8629,425872,T
172961793,3063,142,98016,1110,13694,384,4441,426276,F
732494607,2156,68,153076,1110,3481,768,7898,426230,T
501212227,2961,112,162855,1110,31601,384,4159,426062,F
488394910,1954,96,125056,1110,950,1537,6271,425616,T
165546477,3071,158,104414,1110,21622,384,4193,425618,F
485841611,1958,55,189926,1110,34235,384,6183,425830,T
029380880,2937,149,284889,1110,25676,384,4510,425946,F
848633071,2102,82,111406,1110,843,768,8356,426478,T
671927293,2978,128,178680,1110,29344,384,4700,426624,F
144913382,3997,73,159880,1110,2702,1152,6390,426210,T
