userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
289065462,3807,7,236034,1626,42294,1982,6357,388229,T
410731040,3956,53,170108,1256,16549,2477,3075,388404,T
393942768,3983,30,402283,776,13594,1486,3006,388487,T
764009337,1984,46,315456,2379,29280,1486,3197,388935,T
073056951,3858,42,84876,4229,4880,1486,3319,388383,T
575947685,1984,36,311488,1730,5681,1486,6583,388328,T
528333311,3984,51,673296,1821,10287,991,4705,388188,T
052006214,3859,35,571132,1034,6678,1982,3761,388263,T
905341268,3872,50,584672,4049,9284,991,3824,388724,T
905176889,1922,32,253704,1962,8458,495,6836,387998,T
156324701,3835,51,92040,5075,5767,495,4929,388974,T
959065194,2027,62,273645,1962,7182,2477,5419,388662,T
428145647,2073,46,248760,2699,19032,991,4976,387997,T
133304626,3820,23,309420,2950,3924,1982,6282,388360,T
788064020,1974,42,398748,1116,13594,2477,5139,388260,T
913816155,1994,52,358920,2504,6240,495,3126,388700,T
343339712,3683,24,47879,1560,16549,991,6020,388637,T
385558142,3855,50,562830,5437,10875,495,4816,388513,T
007308078,3682,20,66276,939,6678,2477,6060,388787,T
896864820,3826,35,317558,1048,4006,1982,3691,388098,T
478427113,1950,52,159900,1048,13125,1486,6339,388359,T
533454815,2107,62,465647,1541,4375,2477,4430,388919,T
049657216,2025,29,101250,2554,23790,1982,6820,388252,T
725664972,1941,58,234861,951,63441,1982,6227,388749,T
067118019,2070,37,254610,2819,34604,1982,6256,388682,T
340520124,1925,61,404250,910,6240,1982,4799,388684,T
642317356,3809,28,239967,1932,8098,495,3679,388277,T
513554217,3965,32,91195,3768,18126,1982,4959,388309,T
801128152,2061,40,237015,3524,4426,495,6134,388120,T
512963044,3915,49,861300,2973,4943,1486,6789,388653,T
533604347,1988,47,483084,3924,8852,1486,6338,388482,T
116059265,1927,55,206189,928,6344,991,6681,388271,T
836342613,1959,61,84237,2625,5286,991,5075,388382,T
746844100,2107,46,351869,827,5361,1486,4605,388902,T
696964088,3840,59,215040,4049,6139,1486,6655,388877,T
181401284,3971,35,869649,1045,54378,495,3788,388269,T
375674974,1957,51,164388,2162,10875,2477,3161,388653,T
063684820,2060,45,113300,4276,4092,1982,6300,388397,T
326719902,2064,34,472656,809,63441,2477,3007,388969,T
266669985,3912,58,332520,996,4325,495,4442,388249,T
338330359,1915,41,319805,1972,4426,1982,4558,388257,T
944823061,1915,36,451940,1865,7049,991,3406,388459,T
992496454,2100,36,323400,910,25376,495,3260,388056,T
861163368,1922,47,142228,3094,42294,2477,3818,388785,T
061379682,2071,64,385206,4943,6562,1486,6762,388354,T
888386946,3917,27,748147,1335,4642,1486,3709,388680,T
294280751,2125,25,514250,1096,4276,2477,6901,388601,T
217680882,3821,17,829157,773,6139,2477,5237,388186,F
570221607,2041,44,379626,776,3924,1982,6135,388557,T
019130588,3824,18,894816,1469,7930,1486,6474,388119,T
812621525,3901,24,58515,871,4642,991,3953,388628,T
438094921,1954,35,125056,1223,5214,1486,5197,388635,T
316343598,3781,20,260889,1308,14640,1982,6207,387998,T
531433865,3693,35,587187,827,27189,991,6769,388183,F
450236405,2010,45,52260,1903,4182,495,5176,388955,T
676602944,3862,12,444130,1264,11195,991,4466,388726,T
261978312,3987,24,956880,2409,11195,991,3658,388189,T
822597935,3834,37,164862,1235,4092,2477,4564,388968,T
347080051,3809,42,891306,1903,9063,991,5446,388864,T
706252364,1929,62,395445,2279,8274,2477,6181,388424,T
699577532,1964,46,353520,784,6344,1486,3290,388363,T
543749290,2101,67,67232,831,7612,1982,6566,388781,T
106655772,3707,21,808126,1317,4006,2477,4481,388921,T
311760475,1937,67,402896,2175,9516,1982,6344,388852,T
302790840,3851,52,893432,1308,8458,991,5156,388170,T
663871718,3843,41,899262,968,3924,1486,3785,388966,T
453036324,1967,29,255710,963,8098,1982,6320,388617,T
134368097,1915,32,371510,2758,6344,991,3724,388173,T
454635663,1915,63,405980,4006,7320,1982,4826,388757,T
606676943,3841,58,649129,1838,8458,1486,6086,388677,T
689844931,3899,40,970851,871,6344,1982,5334,388487,T
353759104,3746,24,389584,958,8458,1486,5161,388213,T
412392106,3819,31,855456,1321,9063,1486,5388,388791,T
549313579,3838,7,951824,983,14098,2477,5050,388802,T
293657984,3811,21,160062,1256,7612,495,3962,387988,T
802341901,1941,40,52407,2239,3924,1486,5044,388982,T
045098856,3850,36,100100,1069,8274,1486,3412,388541,T
