userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
922928210,1922,82,57660,784,2409,991,6354,388920,T
710972510,3789,26,367533,784,832,2477,6288,388113,F
134717876,2170,47,138880,784,2252,1982,5054,388209,T
117112699,3797,15,155677,784,845,2477,6491,388604,F
360670511,3936,57,267648,784,1431,495,5907,388760,T
423171407,3773,15,373527,784,1100,2477,4922,388611,F
784524075,2205,86,163170,784,1441,495,5341,388885,T
450442529,3745,19,299600,784,2718,991,5008,388263,F
653169920,3969,40,134946,784,3731,991,6181,388016,T
372512111,3725,13,219775,784,793,991,6410,388607,F
737939269,2076,52,49824,784,1045,1486,6314,388855,T
782089850,3740,18,157080,784,27189,2477,6721,388105,F
772601160,2189,77,207955,784,1875,1982,5268,388425,T
834374564,3821,27,145198,784,25376,2477,4998,388380,F
208734058,4020,49,309540,784,1031,991,6284,388898,T
271120421,3717,16,315945,784,9063,1982,4891,388359,F
958640472,3792,20,333696,784,7049,2477,5039,388528,F
432128951,2153,53,99038,784,1492,2477,4450,388970,T
140564142,2019,86,46437,784,1354,991,6022,388758,T
869809545,3764,10,143032,784,1952,2477,5056,388757,F
771396552,3847,67,330842,784,1051,991,5209,388296,T
944616127,3903,8,308337,784,1804,1486,6310,388815,F
356162305,3852,32,173340,784,4818,991,3666,388850,T
905272601,3952,22,237120,784,1090,1982,6914,388663,F
186365202,1994,71,75772,784,902,495,6216,388931,T
300708312,3815,21,103005,784,1481,1982,6933,388598,F
602983844,4101,90,344484,784,2321,495,3965,388409,T
571682038,3955,20,375725,784,871,1982,4865,388476,F
442823359,3868,23,324912,784,10017,495,5072,388423,T
575995654,3917,22,188016,784,1034,1486,5075,388672,F
458947852,3921,60,305838,784,1126,991,6117,388478,T
619320873,3939,17,287547,784,3225,1486,6474,388746,F
442891644,2014,30,84588,784,1770,991,3345,388602,T
419299363,3749,8,157458,784,3045,2477,4835,388710,F
566438762,3789,8,337221,784,1475,1982,5919,388799,F
455517921,2184,43,216216,784,10017,2477,6403,388452,T
322740903,3867,87,197217,784,3731,991,5943,388212,T
199940641,3829,24,114870,784,923,1486,5292,388220,F
890123731,2156,55,47432,784,1340,2477,4595,388845,T
918804080,3899,5,202748,784,1100,1486,5935,388765,F
637087567,1984,74,75392,784,768,2477,5112,388693,T
970982101,3824,8,351808,784,1384,1486,4804,388349,F
640502264,3968,23,150784,784,14640,495,5991,388566,T
184267323,3717,19,260190,784,1553,1982,6482,388332,F
298279756,2195,34,114140,784,3145,1486,3744,388924,T
899308658,3953,13,138355,784,1354,1982,6035,388040,F
202299347,3906,39,304668,784,1962,2477,4876,388207,T
328702067,3756,23,82632,784,9284,2477,4849,388368,F
913876283,3880,40,155200,784,1294,1486,4540,388890,T
214218680,3696,6,214368,784,2607,991,5137,388522,F
070946655,2053,80,188876,784,2819,991,3167,388510,T
483973788,3829,12,260372,784,1534,2477,6922,388463,F
764009927,2188,73,203484,784,4325,1486,3563,388222,T
709815172,3751,12,363847,784,861,1486,6635,388218,F
920001467,1921,72,126786,784,2068,2477,5224,388189,T
598009196,3867,5,228153,784,11895,1982,4674,388419,F
209857590,1994,50,87736,784,2778,1486,5107,388730,T
491563404,3936,12,90528,784,2080,1982,6274,388186,F
501030156,2090,52,64790,784,1619,991,6486,388064,T
627065714,3774,9,105672,784,889,2477,4801,388795,F
307834145,2053,40,164240,784,1139,1982,6549,388111,T
873338578,3959,17,304843,784,956,1486,6659,388342,F
795097092,2026,80,188418,784,871,991,3882,388697,T
027464521,3780,9,264600,784,881,1486,5230,388384,F
121436296,2166,63,134292,784,944,991,5283,388010,T
251573627,3717,18,170982,784,1227,1486,6700,388786,F
672420696,2177,27,111027,784,1838,495,6599,388377,T
457780211,3674,6,157982,784,796,991,4889,388757,F
661127885,2196,47,129564,784,11195,1486,3491,388452,T
131538564,3955,19,237300,784,781,1982,4892,388526,F
841606921,1958,52,97900,784,1612,2477,6380,388331,T
627525074,3755,17,304155,784,47580,1982,6893,388966,F
304737453,2196,57,186660,784,923,495,4955,388574,T
166376862,3951,23,138285,784,1227,2477,6299,388819,F
757292593,3809,33,217113,784,851,495,2994,388840,T
506257766,3786,23,215802,784,798,1982,4795,388823,F
417365749,3677,10,290483,784,1409,1982,5278,388895,F
706688384,3978,71,194922,784,915,1486,2950,388987,T
582396532,1963,37,170781,784,1452,991,6151,388545,T
730179009,3676,20,305108,784,871,991,5274,388654,F
268048771,2031,59,107643,784,1109,2477,3834,388173,T
600566698,3887,6,384813,784,1481,2477,6214,388744,F
678504865,2067,61,146757,784,767,1486,6874,388948,T
740611597,3755,6,274115,784,1399,1982,6572,388306,F
707882586,2053,31,53378,784,976,2477,2927,388729,T
155861571,3908,22,226664,784,2265,1486,6377,388456,F
868849469,3858,39,262344,784,786,495,6153,388335,T
000083870,3848,13,188552,784,1566,1486,6040,388862,F
234603372,3919,32,211626,784,38064,1982,6696,388163,T
672272953,3887,26,369265,784,2003,1982,6905,388326,F
066836946,2128,91,163856,784,1235,1486,4507,388280,T
890601174,3744,22,310752,784,3429,1982,5100,388371,F
566849483,2065,60,105315,784,10017,1486,3722,388184,T
064450299,3821,9,76420,784,767,1486,6785,388823,F
765679456,2147,61,105203,784,1510,495,5345,388966,T
652755143,3746,24,127364,784,47580,2477,6639,388254,F
335581672,4029,37,241740,784,966,495,3257,388486,T
520501622,3957,9,94968,784,1066,1982,5912,388955,F
631663258,3880,24,205640,784,1026,1982,5918,388636,F
429407344,2039,34,191666,784,1475,991,3533,388130,T
