userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
725505397,4781,111,712369,1249,35778,647,2071,463576,F
105173959,4769,114,362444,4630,7568,517,1023,463098,F
824434463,2289,18,393708,2677,7288,647,1516,463276,F
895236068,4878,114,282924,878,5178,647,2325,463350,F
941812527,4915,81,466925,2315,4231,647,1761,463200,F
039446779,2234,39,464672,1555,5963,388,2986,462791,F
017590582,4889,97,987578,915,18740,647,1636,463252,F
928255727,4911,107,785760,840,5111,258,2231,463106,F
696140706,4515,217,921060,1154,5543,129,1154,463591,T
934471267,4921,107,610204,1043,10356,129,3051,463179,F
263096125,2181,10,311883,943,4277,388,1542,462974,F
581387319,4510,209,541200,813,4799,258,1543,463441,T
089668229,4756,111,166460,1452,10932,258,1889,463141,F
686504229,2272,22,322624,3935,4919,129,2611,463586,F
348342158,4618,206,411002,857,5543,647,1075,463455,T
148063222,2231,10,377039,959,6785,517,2302,462761,F
381327337,1209,21,18135,959,11926,517,2993,463112,T
151149242,1173,1,36363,1038,7288,517,2247,462899,T
581505295,2287,12,361346,4576,6785,647,2547,462920,F
928916622,1222,19,114868,1199,4523,517,2462,463121,T
713773405,4872,110,604128,1027,39355,258,1564,462829,F
196942393,2275,24,168350,3513,4231,517,1700,463549,F
577206171,4557,207,168609,1813,6347,388,2743,463697,T
937828810,4871,99,608875,4576,5045,129,1540,463275,F
939986149,4510,209,189420,890,4981,647,2945,463040,T
393943289,2141,42,323291,880,9598,129,2377,463530,F
909267691,4873,87,1130536,1174,14576,647,1942,463307,F
651111301,4523,216,456823,1114,7288,388,2879,462980,T
161472891,2243,34,80748,1011,39355,258,2542,463158,F
520842707,4608,225,654336,1090,43728,258,2983,462946,T
125904197,1102,12,38570,1199,6670,258,2483,463117,T
469063690,2233,15,448833,1987,9838,388,1798,463630,F
644163526,4772,91,434252,1646,4685,129,1936,463269,F
115554405,2239,40,35824,874,4277,388,1017,463302,F
859991552,2130,43,281160,2506,9370,517,1883,463464,F
475599337,4897,112,230159,2082,49194,129,2744,462842,F
051140597,4794,80,105468,1513,5703,129,1135,463531,F
551767134,4935,117,779730,844,15136,129,1953,463036,F
751149787,2271,12,508704,1311,20713,517,2335,463544,F
782775262,1223,1,145537,857,4576,258,1767,462738,T
902903978,2185,25,144210,2248,8745,258,1746,463665,F
994209248,2273,21,181840,3513,5391,258,2545,462977,F
770363949,4837,106,812616,1057,13570,647,1677,462931,F
132517009,4900,95,416500,2606,6054,517,1446,463016,F
840656304,4446,229,1018134,1087,4015,258,2781,462884,T
724740197,4849,109,261846,4186,4858,517,2690,463071,F
547570012,4765,89,1019710,1756,7027,388,2122,463338,F
079771303,2254,24,155526,2915,11244,258,1469,463446,F
223176169,2271,41,363360,1249,5703,129,2182,463434,F
568269043,1169,1,94689,793,5622,517,2442,462940,T
803414985,4829,96,1028577,2831,4685,258,2012,463122,F
924374433,4924,100,797688,1320,5543,647,1475,463403,F
438077254,4579,235,96159,1060,56222,129,2897,462915,T
463549888,4781,103,420728,2937,4372,129,1082,463062,F
762674284,2298,37,41364,2186,5622,258,2728,462990,F
049107078,1135,22,37455,855,4324,388,2376,463306,T
270691396,2211,45,539484,1311,23150,517,2314,463619,F
665321500,1257,1,71649,1043,4277,517,2092,463340,T
357279385,4525,223,963825,1066,6904,129,2176,462737,T
359567196,4936,84,231992,1361,7155,517,2137,463022,F
803853023,4920,113,132840,4523,4372,258,2003,463646,F
973641990,2281,9,77554,2248,10091,517,1435,463200,F
489485482,2232,23,341496,1099,6670,388,2215,463588,F
382290938,4920,94,575640,1689,49194,129,1437,463269,F
653813785,1259,1,71763,946,9838,517,2461,463648,T
566392475,2274,33,261510,840,7288,258,2224,463141,F
225628891,4846,103,314990,1257,23150,258,1282,463267,F
137880408,4446,228,1044810,870,18740,129,2055,463526,T
624392681,2209,39,505861,2236,9152,388,2898,462997,F
588173825,2192,22,197280,1425,65593,647,2481,463229,F
584953263,4553,233,455300,1118,4576,258,2368,463139,T
175962533,2156,6,206976,2771,5963,129,1154,463398,F
640899798,4806,105,788184,1431,23150,647,2481,463239,F
198986902,4816,102,1025808,2831,5466,129,2403,463025,F
230264543,4538,199,1116348,793,32796,647,2170,462769,F
101894878,4444,215,919908,790,32796,258,2372,462908,T
291053113,1106,1,12166,1134,7288,647,2237,463634,T
113950902,4497,221,238341,1069,4422,258,1061,463328,T
