userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
061717229,2199,29,162726,3577,861,647,2844,463476,F
997872061,4540,220,167980,3577,1549,647,2572,463004,T
840772019,4809,84,298158,3577,1298,258,1747,463263,F
798505979,4495,250,377580,3577,3712,647,2978,463416,T
800878733,4890,115,268950,3577,1653,258,2262,463437,F
364972889,4452,210,360612,3577,1468,647,2985,463012,T
462553881,2293,29,215542,3577,30273,258,2182,463248,F
771365825,4520,201,131080,3577,796,647,2753,463264,T
048499391,2333,63,209970,3577,2150,258,2106,463082,F
074912782,4595,209,147040,3577,4422,647,2551,462792,T
718110153,4847,90,193880,3577,946,388,2558,462856,F
802367305,4595,250,174610,3577,3712,647,2640,463309,T
072430153,5041,112,201640,3577,4422,129,2629,462902,F
556775552,4458,228,356640,3577,2752,647,2977,462847,T
682848930,2226,54,220374,3577,850,258,2366,463696,F
660886002,4579,232,155686,3577,4057,647,2432,463451,T
004475405,2248,9,78680,3577,39355,517,1549,462926,F
705141650,4533,259,398904,3577,796,647,2731,463409,T
401237273,4833,126,149823,3577,32796,129,1522,463550,F
363443141,4509,258,121743,3577,3748,517,2663,463184,T
415300354,2303,11,110544,3577,15742,647,2076,463608,F
273591770,4635,254,213210,3577,1316,647,2728,463129,T
403754441,2220,30,79920,3577,823,647,1636,463105,F
446238628,4484,242,98648,3577,1741,517,2955,462830,T
780894821,2341,48,170893,3577,1660,647,1536,463395,F
434022456,4541,244,308788,3577,13570,647,2456,463052,T
679985461,2141,13,59948,3577,1199,129,2045,462913,F
675221290,4601,237,220848,3577,1490,647,2682,463514,T
313684565,2270,51,56750,3577,1001,517,1825,463613,F
103127118,4510,220,261580,3577,5466,647,2979,463006,T
063094272,4853,106,169855,3577,3935,258,1439,463664,F
157902393,4563,220,200772,3577,1352,647,2831,463214,T
973784844,4848,81,213312,3577,1027,647,2444,463139,F
474392207,4617,254,203148,3577,993,647,2847,462978,T
367462047,4756,82,109388,3577,1253,388,1561,463259,F
465188480,4583,246,316227,3577,1567,647,2804,462900,T
018720027,4895,79,450340,3577,946,258,1160,462863,F
539510194,4582,265,174116,3577,2641,647,2802,463423,T
356088631,4786,144,440312,3577,4372,258,1533,463505,F
883715527,4687,223,403082,3577,804,647,3043,463362,T
555203995,2236,29,201240,3577,21864,517,2003,463252,F
215846165,4465,222,138415,3577,1121,517,2979,463283,T
389362137,4795,145,431550,3577,1003,517,2965,463428,F
280351997,4478,233,143296,3577,3050,517,3032,462978,T
430364622,2113,57,141571,3577,1226,647,1829,463372,F
772925671,4502,234,184582,3577,2288,647,2987,462968,T
388206026,4947,128,192933,3577,1006,388,1999,463431,F
442103500,4525,246,235300,3577,4858,647,2965,462986,T
511880322,2204,9,74936,3577,7027,517,1729,463501,F
377146567,4585,229,192570,3577,926,517,2845,463520,T
488654212,4998,78,494802,3577,983,258,2498,463504,F
333576055,4517,223,90340,3577,986,647,2517,463011,T
946445614,2290,23,57250,3577,932,129,2869,463429,F
936687714,4613,221,129164,3577,2606,517,2903,463498,T
978275319,2140,8,113420,3577,1543,647,2732,463124,F
844936050,4703,263,329210,3577,9370,647,2805,463645,T
673763162,2218,73,73194,3577,2791,647,2902,463445,F
678977293,4599,218,96579,3577,14576,647,3023,463717,T
628808482,2321,16,127655,3577,1468,258,2559,463426,F
614822209,4545,265,127260,3577,1948,647,2504,463412,T
684039630,2380,22,228480,3577,888,647,2378,463249,F
