userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
130402875,3442,32,127354,1017,24206,1741,5257,254661,F
776994877,3403,58,728242,754,3025,870,4702,254389,T
232043015,293,1,69441,3362,5629,1741,5178,254228,T
152957757,249,1,7221,630,8347,1306,5648,254262,T
281231617,460,27,50600,1423,2575,870,4252,254288,T
329119112,3354,52,40248,945,20172,1306,2997,254287,T
196971425,3286,54,558620,791,12740,1741,3604,254396,F
516798877,3314,43,825186,766,3103,870,6146,254874,T
307309037,3398,33,693192,927,3103,1741,5422,254256,F
404216083,3328,26,682240,2575,6370,1741,4702,255166,F
735383609,622,5,49138,3458,3904,870,4256,254563,T
907152306,3441,30,289044,2305,3508,1306,2789,254705,T
427522796,3397,43,346494,2952,24206,1741,5237,254253,F
059740230,3331,38,719496,3409,4567,2177,4231,254790,F
487840920,143,12,22308,591,8347,1741,3948,254616,T
809143206,262,11,31178,2952,4655,1306,4845,254225,T
617301831,3336,26,346944,1301,4246,1741,5213,254190,F
852320438,568,16,92584,1210,4173,1306,3114,254652,T
527095084,190,19,25460,864,4841,1741,5660,254304,T
497505570,194,1,9894,678,9310,2177,4700,255009,T
715588585,3268,38,104576,586,4655,435,5548,254486,T
144484450,518,7,48174,1308,7808,870,3399,254859,T
354966266,628,1,54636,855,4102,870,2745,254364,T
194602289,3386,25,169300,1120,6370,2177,5588,254779,F
160234229,125,1,9000,666,17290,1741,2658,254384,T
234781614,244,1,20496,896,5379,1741,5913,254387,T
688347444,230,2,8280,1038,2495,1306,2867,254485,T
756513076,449,17,92045,923,5150,435,5734,254766,T
912545817,3328,50,525824,1692,4841,435,4481,254784,T
819757606,464,16,59856,685,5904,870,5669,254488,T
087586902,3416,45,379176,1025,2988,870,4821,255121,T
790221438,3302,28,442468,2283,9310,2177,3919,254868,F
466918525,265,1,53530,535,3724,1741,5241,254924,T
502202761,2700,23,610200,2034,17290,2177,4192,254672,F
754109035,287,16,41902,733,9682,2177,5451,254536,T
753433861,3418,39,567388,2396,11526,2177,4696,255091,F
865351833,517,1,70829,773,3508,435,4147,254328,T
253694085,3401,35,61218,670,4401,1741,5844,254575,F
