userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
264076874,227,6,9307,584,2350,2177,3522,254714,T
626775265,3479,61,219177,584,996,2177,5191,254874,F
874565827,742,35,37842,584,679,870,4087,255152,T
536637122,3316,47,192328,584,2814,2177,5281,254530,F
976938718,3557,40,252547,584,893,2177,6107,255124,F
778483897,3265,34,323235,584,543,1306,4660,254298,T
881649210,3396,31,288660,584,487,435,5717,255030,T
048187027,3540,52,325680,584,3782,1741,2975,254674,F
176640526,186,26,11346,584,2602,1741,5598,255123,T
898202611,3298,35,98940,584,513,1741,4446,254957,F
429015137,558,1,52452,584,738,435,2760,254837,T
906185324,3437,58,206220,584,1806,2177,5238,255090,F
614600187,3278,76,321244,584,15129,870,5205,254779,T
294581484,3367,56,303030,584,1012,1741,2742,254490,F
534946147,3296,91,276864,584,858,1741,4666,255173,F
500534973,3483,21,198531,584,6724,435,5270,255047,T
597795147,341,1,29326,584,733,1741,3578,254228,T
503866248,3280,40,278800,584,858,1741,3032,254850,F
615324737,173,31,10034,584,722,1741,5642,254187,T
625940393,3546,87,262404,584,48412,1741,4312,254172,F
230040276,3446,35,275680,584,559,435,5868,254920,T
341237069,3496,46,258704,584,638,2177,5596,254947,F
554921160,3558,89,167226,584,920,1741,5422,254496,F
725745919,3268,70,228760,584,699,435,6166,254937,T
755157279,3492,64,328248,584,1017,870,3443,254601,T
085367201,3267,55,212355,584,10524,1741,4160,255058,F
378830904,185,1,9435,584,506,870,5220,254969,T
658892467,3360,28,174720,584,14239,2177,3549,254541,F
803870577,197,7,14775,584,1025,1741,5860,254365,T
269607831,3408,39,269232,584,676,1741,2994,254393,F
839354799,3289,74,315744,584,659,870,5644,255153,T
809056356,3387,68,196446,584,1090,1741,3580,254883,F
489353167,3441,54,306249,584,609,435,5517,254515,T
582133131,3361,39,124357,584,568,1741,5550,254845,F
835172529,318,12,30210,584,1741,2177,3118,254865,T
603743414,3390,67,206790,584,1952,2177,5558,254233,F
316886347,129,1,12255,584,573,1741,6076,254735,T
408962600,3473,56,104190,584,555,1741,2817,254634,F
795005883,629,17,28934,584,873,435,5244,254424,T
602532337,3511,32,344078,584,9310,2177,3158,255039,F
664988866,415,1,12450,584,695,1306,5293,254502,T
598208408,3263,26,71786,584,849,2177,3517,254283,F
272372847,3424,39,109568,584,1806,2177,6174,254168,F
186337994,583,20,38478,584,1047,435,4479,255094,T
861823148,355,17,8875,584,484,1741,6171,254490,T
915065931,3293,83,204166,584,1766,1741,5263,254896,F
014096906,234,1,21060,584,1440,2177,5899,254892,T
759033092,3552,51,71040,584,7119,1741,4477,254504,F
991086800,3282,81,147690,584,1100,435,4544,254541,T
692505021,3313,52,182215,584,1315,2177,4777,254432,F
998902306,3345,36,157215,584,716,2177,3600,254177,F
634189890,3355,54,134200,584,500,1306,4364,254568,T
632023167,203,23,16646,584,4482,1741,5793,254946,T
784721162,3416,82,150304,584,2420,1741,4059,254546,F
751824610,381,1,15621,584,1095,1741,4838,254492,T
396143102,3341,32,66820,584,2660,2177,3454,254962,F
917920768,589,15,55366,584,1399,870,2639,254588,T
420341538,3319,35,302029,584,880,1741,5974,254821,F
673588923,3430,48,329280,584,931,435,6124,254847,T
054159517,3465,25,76230,584,1337,2177,4467,254773,F
756444304,3428,57,171400,584,507,2177,6060,254247,F
403035284,325,12,23400,584,1476,1306,4127,254853,T
237219311,353,5,26828,584,4102,1306,4227,254438,T
416920198,3350,62,244550,584,1635,2177,4242,254190,F
425579469,3301,39,316896,584,608,870,6076,255080,T
085928339,3471,64,215202,584,5379,2177,3896,254955,F
617160545,3511,48,207149,584,488,1306,6127,254770,T
688799487,3350,75,288100,584,518,2177,3258,254334,F
268095190,3266,41,153502,584,749,2177,5614,254499,F
775214067,412,24,19364,584,1522,2177,5849,255100,T
555728697,610,29,28060,584,580,870,3407,254447,T
902524576,3275,42,222700,584,873,2177,2568,254478,F
025921573,573,1,54435,584,913,870,2920,254335,T
777348410,3524,85,313636,584,3667,1741,4246,254790,F
848093210,3348,49,254448,584,520,1741,5883,254802,F
769864791,635,59,45085,584,511,435,3889,254631,T
119017650,309,40,13287,584,1984,1741,3500,254623,T
071317688,3273,43,232383,584,2350,2177,3441,254618,F
562417548,3366,62,242352,584,40344,2177,4315,254928,F
345975658,3364,24,174928,584,1322,1306,5910,254266,T
130629635,3371,76,323616,584,945,1306,4119,254999,T
255069088,3451,59,220864,584,2396,1741,3571,254890,F
964383671,742,29,22260,584,500,870,4015,254474,T
286213112,3300,46,181500,584,826,1741,4550,254303,F
902518734,3273,88,124374,584,1458,435,4419,255109,T
579450015,3436,46,182108,584,519,1741,3530,254876,F
267616404,599,11,14376,584,837,870,2707,254296,T
107267919,3378,44,189168,584,3458,2177,3595,254303,F
752353441,3303,81,158544,584,489,2177,4269,254357,F
986183011,3542,21,219604,584,770,1306,4731,254797,T
868963561,3275,47,85150,584,1820,870,4309,254978,T
905736656,3560,77,74760,584,516,1741,2812,254581,F
949481721,3506,54,322552,584,1921,870,5979,255016,T
998324256,3282,57,298662,584,564,2177,4681,255053,F
394549946,3314,47,149130,584,693,870,4683,254454,T
327362222,3318,32,145992,584,586,1741,3195,254649,F
267183381,3280,90,314880,584,780,435,2963,254927,T
835974642,3517,49,256741,584,754,1741,4837,254947,F
794927720,388,1,26772,584,594,1741,4888,254941,T
807561092,3386,30,121896,584,10524,2177,5995,254341,F
