userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
320799347,2135,15,407785,1147,12238,1185,2714,662519,T
382701772,4834,48,749270,5195,68843,1185,3354,662671,T
687855755,4835,56,788105,1472,15298,1778,1788,662961,T
906489224,2222,14,106656,2314,8605,2963,2973,662880,F
542422991,2151,37,25812,1401,11239,592,1734,662746,T
432107316,2129,21,523734,1793,9179,2370,2380,662675,T
967988771,4902,55,838242,3337,9028,1185,2628,662476,T
815779988,2133,25,430866,1176,26226,1778,2134,662296,T
844760760,2241,17,522153,1169,8742,1778,1917,662337,T
100957893,2231,3,421659,2304,6052,2963,2973,662482,F
007431211,2274,11,25014,1387,55075,1778,2042,662882,T
070873868,1156,1,117912,1835,6556,1778,2275,662289,T
037024249,2972,11,44580,2514,8605,1185,1833,662215,T
428187398,4872,52,950040,1130,18991,2963,2973,663007,T
393014773,2262,36,341562,2809,6404,592,1849,662161,T
154293291,2899,25,133354,1277,10199,2963,2973,662922,T
865253911,4948,79,851056,1248,45895,592,2181,662668,T
154290230,2204,22,295336,1237,27537,592,1658,662069,T
508878608,2934,17,123228,1610,12517,2370,2380,662075,T
633480008,2216,29,117448,2781,7343,592,3119,662805,T
785536479,5010,53,646290,2070,7867,2370,2380,662922,T
434146863,3006,14,45090,1605,5859,2963,2973,662248,T
918809511,2264,32,566000,1564,22030,1185,2388,662584,T
791682001,1291,7,219470,1305,6052,2370,2380,662987,T
141358830,4871,62,1008297,1112,14121,1185,3075,662236,T
928265213,4908,66,1133748,1336,13768,2370,2652,662071,T
193091151,1190,20,221340,1793,14493,2963,2973,662537,T
878103505,2253,28,263601,1765,42365,592,2885,662798,T
059829598,5010,53,410820,1918,6258,2963,2973,662375,T
095626853,4901,47,382278,2767,10591,1185,2764,662719,T
256663595,2194,23,188684,1886,14121,592,3146,662404,T
697611428,4991,51,598920,2094,6258,1185,1941,662225,T
936557101,1178,1,240312,1202,6716,1778,1788,662708,T
188674781,4843,59,920170,1892,28986,2370,2549,662877,T
893490031,4962,54,843540,4707,42365,1778,2117,662831,T
458844503,4976,79,671760,2945,8344,1778,2396,662802,T
461605847,5011,43,250550,2010,14493,1778,3253,662308,T
014851904,2237,33,331076,3042,12808,2370,2380,662066,T
519350807,4993,69,389454,1932,10591,2370,2380,662017,T
494903969,2929,8,38077,4269,6330,2370,3324,662289,T
326650634,2229,24,345495,2294,5563,2963,2973,662855,F
290860106,2193,2,548250,6188,10013,592,2537,662488,T
677808565,1188,10,223344,1135,9495,2963,2973,662478,T
282840529,2276,15,341400,6635,13432,1185,1490,662962,T
032783872,4971,59,864954,1721,8220,2370,2380,662451,T
360051119,2103,29,79914,1283,17210,2370,2380,662783,T
551508976,1309,24,255255,1811,5797,2963,2973,662926,T
333240054,4950,60,564300,1240,27537,1778,1788,662331,T
477196200,4871,41,940103,1610,7757,2370,2380,662401,T
794963700,1305,1,22185,2110,9495,2370,2380,662937,T
608406587,4986,71,967284,3576,11239,2963,2973,662007,T
315079640,2287,35,375068,2024,30597,2963,2973,662877,F
982330454,4939,47,335852,1430,9662,2370,2380,662262,T
513653512,2142,2,484092,2047,17766,2370,3186,662178,T
817876972,4886,63,894138,3530,68843,1778,2340,662882,T
926705999,4960,44,753920,5986,9495,1778,2637,663006,T
596504390,1153,1,80710,1169,7152,2370,2380,662556,T
756232458,2271,6,177138,1445,11015,2963,2973,662623,F
516110115,4831,66,362325,1848,6188,2370,2380,662393,T
822777246,2298,32,392958,1340,30597,1185,3048,662071,T
107270174,2299,27,250591,1601,8742,2370,2483,662299,T
697423768,2147,40,493810,2458,22947,1778,2020,662382,T
542613735,4971,66,864954,1596,9179,2963,2973,662455,T
852883939,1181,23,174788,6119,15735,2963,2973,662294,T
344688383,1342,4,213378,1376,6635,2370,2380,662892,T
951739694,2178,25,511830,1171,11718,2963,3143,662070,F
930140294,1292,17,319124,2220,5797,1778,1944,662796,T
545050615,4896,59,905760,1560,11718,1778,2463,662177,T
564920815,4851,69,708246,2809,8099,1778,1913,662975,T
458691334,4976,64,1154432,2726,5563,2370,2380,662921,T
126079174,2233,33,236698,1114,34421,1778,2071,662813,T
673292346,2176,19,313344,1147,8742,2963,2973,662708,F
721214855,1338,18,33450,1164,15735,2370,2380,662332,T
358577020,4899,39,921012,1480,9662,2370,2380,662552,T
