userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
891914237,2196,59,173484,1117,1159,2963,2139,662673,F
171197283,2201,66,173879,1117,2898,2370,3360,662626,T
042119472,2901,24,101535,1117,2914,2370,1832,662786,T
935655805,2394,5,234612,1117,2426,2963,3024,662675,F
276068889,1162,50,30212,1117,1133,2963,2839,662037,T
742000396,2141,51,68512,1117,1504,2963,3120,662393,F
160471323,4940,59,474240,1117,1742,1185,1380,662577,T
183189865,2225,67,186900,1117,6635,2963,2415,662937,F
322168098,1299,48,100023,1117,1145,2370,1389,662939,T
465756149,2225,15,189125,1117,1981,2963,2390,662478,F
527981402,2402,45,86472,1117,1534,1185,2943,663011,T
713924727,2225,22,86775,1117,4079,2963,1358,662150,F
853718232,2301,18,94341,1117,9495,1778,2263,663000,T
882334003,2291,11,153497,1117,1488,2963,2756,662547,F
076331505,5010,108,155310,1117,2032,1778,1157,662195,T
459246655,2244,19,87516,1117,61194,2963,2587,662814,F
120605534,2875,3,138000,1117,4477,2370,3358,662705,T
956940817,2281,7,161951,1117,4441,2963,2535,662333,F
053098031,2234,52,71488,1117,1648,2963,2400,662702,F
792077138,2152,57,208744,1117,2343,2370,1381,662724,T
573037110,3014,6,60280,1117,1323,2370,2026,662354,T
984407817,2279,19,164088,1117,68843,2963,1677,662157,F
619260514,5071,97,354970,1117,2673,1778,2225,662347,T
126461332,2368,37,125504,1117,3202,2963,2321,662297,F
508045083,1409,42,87358,1117,2824,2370,2598,662784,T
944092544,2274,35,140988,1117,1366,2963,2014,662551,F
661564022,1290,11,90300,1117,3009,2370,1858,662564,T
795647162,2278,71,207298,1117,1564,2963,1385,662736,F
632976618,2340,67,210600,1117,2126,2370,2898,662792,T
968476005,2148,3,57996,1117,6635,2963,3237,662573,F
502455656,4838,91,391878,1117,1128,2963,1909,663009,T
770577231,2364,68,139476,1117,12808,2963,1460,662567,F
327923574,4990,85,409180,1117,3202,1185,2168,662265,T
036515912,2319,36,136821,1117,4514,2963,1420,662445,F
473800350,1361,1,121129,1117,1634,2963,1264,662893,T
378104814,2260,18,72320,1117,22030,2963,2856,662681,F
058497439,2296,18,50512,1117,2185,2963,1216,662382,F
428678950,2870,57,94710,1117,2809,1185,1228,662987,T
129846843,2998,20,92938,1117,2220,1778,1363,662130,T
167408062,2155,27,77580,1117,11972,2963,2901,662407,F
338668934,2250,69,51750,1117,4441,2963,1506,662665,F
624886382,4850,41,140650,1117,2062,592,2226,662260,T
128469505,5077,54,482315,1117,1759,1185,1415,662172,T
350557721,2303,52,170422,1117,4789,2963,2641,662873,F
226713488,1328,1,88976,1117,4406,2370,1225,662724,T
035026392,2114,44,46508,1117,12517,2963,2860,662458,F
612502065,2991,10,83748,1117,1283,1185,2265,662950,T
460489602,2206,30,94858,1117,1587,2963,1814,662144,F
978871842,1380,1,70380,1117,1166,1778,2872,662057,T
758521953,2222,38,155540,1117,2538,2963,3221,662509,F
243703613,2892,47,164844,1117,1161,1185,2724,662227,T
866891411,2398,48,170258,1117,1932,2963,1980,662785,F
228289135,5049,104,186813,1117,7152,2963,2457,662940,T
537927982,2160,4,183600,1117,6556,2963,2971,662558,F
879298618,5082,105,426888,1117,1133,1778,2116,662619,T
269840934,2213,49,214661,1117,1578,2963,1217,662874,F
453862744,2197,16,149396,1117,1359,1185,1528,662646,T
962296029,2266,22,108768,1117,25034,2963,2639,662847,F
467943445,2268,20,206388,1117,1174,1185,1171,662685,T
734386163,2253,35,216288,1117,2726,2963,1968,662744,F
875846620,1300,40,37700,1117,1430,2963,1842,662556,T
401465063,2170,64,52080,1117,9028,2963,2658,662586,F
643494560,2882,24,66286,1117,1694,1185,3012,662259,T
117585806,2199,58,156129,1117,1363,2963,2767,662729,F
608286996,2295,5,174420,1117,8344,1185,2677,662148,T
889610277,2149,62,180516,1117,1266,2963,1499,662194,F
677227255,4905,53,387495,1117,14121,2963,1353,662229,T
855414974,2170,16,214830,1117,4589,2963,2050,662203,F
860067422,2219,49,64351,1117,2585,1778,2557,662894,T
578812555,2293,69,188026,1117,3442,2963,1576,662401,F
866364052,2957,28,121237,1117,3026,2370,2525,662871,T
484285215,2208,52,114816,1117,1363,2963,3227,662840,F
887535120,3046,47,295462,1117,1257,2370,1815,662711,T
143549989,2313,10,53199,1117,1596,2963,2042,662387,F
591428224,5115,43,281325,1117,2977,592,1337,662220,T
449356584,2171,59,112892,1117,1412,2963,2515,662985,F
200144537,2897,66,162232,1117,1564,2963,1567,662827,T
607949876,2268,6,222264,1117,19669,2963,2362,662946,F
042241123,2263,20,61101,1117,1112,1778,2698,662347,T
571600876,2140,62,62060,1117,1397,2963,2627,662726,F
951358767,4927,72,216788,1117,1359,1778,2155,663008,T
874186308,2252,55,76568,1117,1380,2963,1884,662307,F
227813758,4887,104,298107,1117,1715,1185,1423,662667,T
386317407,2140,20,214000,1117,1412,2963,1770,662234,F
059248298,5025,92,311550,1117,1437,2370,2593,662420,T
241921443,2274,26,77316,1117,1340,2963,2064,662521,F
987634566,2221,53,71072,1117,16689,1778,3149,662138,T
646457707,2288,14,66352,1117,1457,2963,2174,662307,F
394537761,4937,50,454204,1117,1591,592,2726,662374,T
934314089,2251,22,141813,1117,6330,2963,2696,662991,F
055659711,2875,34,175375,1117,4477,2370,2490,662337,T
038096613,2276,70,195736,1117,2394,2963,1776,662943,F
787501732,2221,64,104387,1117,1715,2963,2166,662455,F
536178237,5099,68,178465,1117,21182,592,1698,662812,T
102021686,4877,83,219465,1117,2220,592,2443,662877,T
120268977,2235,64,174330,1117,1793,2963,2153,662678,F
110569902,2131,3,115074,1117,1184,2963,2471,662600,F
713611057,3104,70,170720,1117,2002,1185,1291,662438,T
123439483,2953,60,118120,1117,4477,2963,2330,662197,T
383965587,2188,45,43760,1117,4371,2963,3207,662104,F
