userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
551298099,1317,1,138285,295,964,988,3448,79902,T
093040112,3581,90,257832,317,1224,247,3219,79569,T
406616246,3726,66,488106,180,1881,494,4159,79629,T
926196590,1416,16,212400,254,820,247,2637,79539,T
781388392,3668,64,462168,787,1042,741,5152,79355,T
268165601,3766,63,229726,232,1056,247,4445,79232,T
834844934,1457,14,123845,445,2754,741,3368,79165,T
126054228,1481,10,250289,286,3856,741,5217,79934,T
777509592,3702,75,270246,358,940,741,4928,79373,T
311649032,3740,87,673200,303,2488,988,3239,79669,T
625125143,1446,24,133032,167,1244,1235,2812,79815,T
693833506,1321,20,250990,238,857,741,4100,79648,T
287800502,1473,12,85434,276,3085,247,5241,79140,T
478110919,1389,23,311136,211,2084,494,3252,79476,T
238348267,3761,77,424993,243,876,247,5910,80042,T
169584945,3649,71,664118,365,1244,988,4403,79078,T
642355895,3578,80,175322,252,811,494,2893,79840,T
600178542,1452,21,246840,622,8570,988,4219,79647,T
288438130,3695,70,561640,528,847,741,4943,80001,T
171785396,3706,88,222360,593,988,988,4963,79410,T
036467311,1399,1,190264,528,1512,988,5429,79429,T
039205880,1380,1,40020,191,3506,247,5592,79984,T
688540021,3796,39,178412,762,16219,257,739,196361,T
194839385,1343,25,295460,204,2488,247,3118,79753,T
485701868,1502,10,126168,416,1186,988,5031,79136,T
146008628,1463,26,76076,866,2754,741,3255,79755,T
633605244,3597,94,370491,171,1836,1235,4894,79695,T
761357998,1442,20,38934,405,1071,494,4509,79738,T
891382107,3678,60,297918,567,1101,741,2483,79669,T
266704230,1483,32,71184,459,1377,247,2987,79989,T
314028830,1458,4,218700,283,15426,988,5273,79774,T
088555464,3695,87,321465,166,12855,494,5804,79968,T
771478882,1340,27,166160,167,2203,988,3710,79337,T
963284622,1317,18,238377,163,1244,741,5385,80031,T
634616088,1385,23,171740,440,7713,247,3355,79098,T
464289544,1385,30,192515,189,1455,494,3711,79184,T
355870671,3770,93,776620,196,3213,988,5005,79565,T
872456771,1399,21,302184,248,1836,247,5413,79064,T
