userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
005593936,3861,116,308880,321,313,1235,2614,79880,T
318194722,3988,28,119640,321,378,247,2563,79111,F
934849186,3851,116,296527,321,488,741,5499,79280,T
100367332,3775,33,158550,321,12855,494,5656,79052,F
414943212,3669,107,304527,321,192,1235,2982,79934,T
502620900,3971,43,154869,321,156,247,2431,80024,F
075179978,3748,100,179904,321,165,1235,5062,79177,T
378960373,3747,38,340977,321,265,247,2431,79170,F
117305100,1507,14,82885,321,266,494,5148,79941,T
796462256,3852,44,146376,321,2410,247,2838,79949,F
148771845,3731,85,291018,321,251,247,2621,79880,T
108794773,3862,40,204686,321,4820,247,3145,79441,F
891947517,1412,29,57892,321,1714,741,2909,80002,T
825453121,3936,30,350304,321,1836,247,2689,79247,F
525621640,3581,102,125335,321,265,247,2489,80024,T
218292392,3752,29,75040,321,2337,247,2709,79204,F
560614348,1600,18,78400,321,174,741,4686,79692,T
475079164,3970,32,226290,321,389,247,2773,79508,F
771630414,3580,64,196900,321,399,247,5885,79800,T
953583516,3718,38,104104,321,1329,247,2601,79192,F
606444170,3704,96,137048,321,175,1235,3043,80031,T
244952257,3852,43,315864,321,175,247,2523,79197,F
496256978,3620,117,152040,321,244,494,5323,79820,T
938927646,3832,35,218424,321,233,247,2823,79660,F
610349117,3734,58,298720,321,159,988,5217,79415,T
506577995,3984,28,270912,321,349,247,2689,79135,F
373310663,3682,113,353472,321,161,247,5568,79054,T
762066387,3939,30,303303,321,547,247,2805,79771,F
781920334,3804,102,365184,321,202,494,3282,80054,T
643942994,3765,34,207075,321,401,247,2492,79322,F
431416816,3697,108,140486,321,166,741,5127,80030,T
180614598,3898,63,144226,321,15426,247,4326,79093,F
378547593,1368,60,31464,321,308,494,2434,79980,T
780995687,3721,44,360937,321,15426,1235,3469,79858,F
154959801,3821,61,152840,321,642,494,5392,79448,T
154380708,3945,30,291930,321,482,247,2754,79798,F
071303759,3741,108,123453,321,218,494,5861,79461,T
794957691,3885,70,155400,321,15426,247,4930,79531,F
923067941,3755,73,349215,321,171,988,4225,79599,T
209642612,3834,34,314388,321,9641,494,4111,79331,F
990741424,3702,95,151782,321,670,1235,4408,79117,T
876172883,3760,30,308320,321,349,247,2732,79678,F
730501716,3866,62,305414,321,187,247,4281,79707,T
207122164,3736,41,343712,321,222,247,2783,79959,F
362368077,1558,1,77900,321,223,741,5089,79861,T
601181423,3827,29,160734,321,181,247,2887,79587,F
853560250,3693,63,180957,321,178,988,5883,79781,T
663279221,3835,35,191750,321,341,247,2542,79361,F
796231732,1345,1,61870,321,296,741,3971,79584,T
430662329,3841,45,341849,321,328,247,2648,79410,F
166963306,3812,71,76240,321,243,1235,2442,79666,T
465435612,3704,59,259280,321,15426,741,4462,79428,F
864388743,3819,92,229140,321,5509,247,4240,79736,T
346681476,3822,42,332514,321,5142,247,4108,79761,F
983191023,3826,110,355818,321,174,247,4699,79974,T
178284509,3712,28,300672,321,5509,247,3848,79793,F
144939994,3745,120,250915,321,907,741,5296,79748,T
944517945,3723,41,148920,321,771,247,2515,79416,F
311392553,1586,28,128466,321,281,741,4455,79894,T
522011685,3856,47,385600,321,547,247,2611,79421,F
760947819,3688,101,232344,321,187,988,4173,79715,T
033845393,3794,35,239022,321,1101,247,2471,79203,F
018958654,1487,5,120447,321,1753,494,5369,79640,T
