userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
726794100,3471,30,593541,1498,12328,1370,3371,455669,T
506278239,3469,46,90194,1988,4494,1370,4913,455724,T
211148515,3392,42,753024,1541,15981,342,4064,456257,T
626737475,3303,37,237816,1218,11063,1370,2996,455579,T
460734536,3362,95,221892,2713,8460,342,4558,456138,T
263072219,3271,62,457940,950,4314,342,5994,455818,F
393243008,3305,70,713880,2696,7073,1027,5777,456277,T
025240222,3306,32,357048,1141,9588,1027,2901,456014,T
011434435,3450,60,486450,3719,6253,1712,4258,455724,F
014842135,3348,45,723168,1410,4494,685,2904,456256,T
452943735,3326,69,495574,991,5017,685,4547,455969,F
765610028,3350,48,247900,1859,8989,342,4277,456247,T
644228450,3307,50,453059,4272,9180,1027,4551,455905,T
085683899,3374,58,468986,2615,10524,1027,2887,456424,T
115468971,3380,55,64220,978,6253,1027,4583,456085,F
818298634,3449,63,396635,1073,11985,1027,2725,455746,F
061203974,3308,38,757532,985,11354,1027,6446,455578,T
938868745,3287,128,604808,3479,4448,342,4207,455842,T
590987455,3272,63,114520,2259,6345,1712,5771,455997,F
499726070,3446,30,689200,5262,22709,1027,5074,456470,T
415867259,3317,35,374821,998,4903,1712,2912,455795,F
830997701,4446,24,324558,2876,5136,1027,5865,456064,T
755169882,3459,57,605325,1092,10273,342,4709,455689,F
477600155,3462,37,612774,931,12690,1370,5493,456264,T
132909851,3378,45,435762,1859,19613,1712,3539,455822,F
897991251,3276,115,226044,2168,12690,342,5762,456401,T
313652095,3337,56,106784,1047,7073,685,4362,455530,F
957121723,3456,57,822528,3656,5198,1370,5515,455925,T
894917161,3372,70,232668,2224,8989,342,2861,455934,T
009245278,3277,42,750433,2801,6959,685,2957,456427,T
966156655,4420,43,225420,895,5910,685,6350,455548,T
010551356,3465,39,464310,902,6959,1712,6256,456085,F
717000147,3355,45,526735,2748,71914,685,5570,455729,T
777756320,3180,116,333900,3566,26968,685,4526,456298,T
092846350,3377,63,185735,987,5393,1027,6398,455547,F
629408096,3319,40,325262,1917,6742,1712,2971,456100,F
557231460,3334,61,406748,1761,13075,1370,6365,456224,T
281147858,3431,65,723941,1299,8989,1712,4342,456106,F
567223524,3335,41,46690,5198,20547,1027,4359,455983,T
593998529,4455,20,231660,1132,10273,1712,5731,455698,T
062541777,3462,41,470832,1052,4848,685,4237,456050,F
907443599,3320,31,156040,904,4590,1712,2858,456262,F
023935185,3354,30,214656,2696,8989,342,5549,455664,T
898658371,3317,67,271994,2730,11661,1370,4790,455802,T
031880738,3398,34,686396,1052,7439,1370,4771,455865,T
373246187,3432,50,54912,906,7073,685,5065,456293,F
982059690,3422,35,119770,868,4358,1370,2898,455707,T
495342745,3338,45,136858,1229,8629,685,4627,456052,T
793038556,3275,33,425750,5753,25381,1027,3394,456260,T
374542819,3380,60,246740,1047,10524,342,4167,455855,F
532180836,3429,60,260604,875,4959,342,4855,455843,F
849045677,3301,51,795541,1327,11985,1712,5936,456420,F
417682455,3300,67,323400,1640,5830,685,5995,455840,T
081174147,3328,123,59904,5531,8297,342,2738,456087,T
586061456,3407,54,269153,3995,5461,1712,4712,456267,F
238376189,3460,63,276800,1299,23971,342,5939,456297,T
120553312,3326,60,798240,1044,12690,1027,3518,455665,F
864727211,3319,45,617334,1428,21574,342,6475,456511,T
772707416,3331,113,562939,4448,22709,342,3527,455939,T
951566966,3471,54,635193,6164,10034,1027,5973,456280,T
574741532,3418,31,813484,2064,4959,342,6145,456190,T
303226738,3468,63,478584,5393,86297,1370,4772,455525,T
638344764,3401,37,697205,942,18760,1370,3013,455949,T
166943921,3301,54,89127,2996,5531,342,6232,456016,T
639125321,3456,45,414720,2146,7705,685,4073,455721,T
558887839,4356,22,113256,1243,4794,1370,6321,456350,T
781715000,3338,53,46732,918,11661,342,5081,455671,F
410012360,3440,40,158240,1557,10787,685,4559,455842,T
323462470,3454,70,656260,2370,10273,1712,6199,455640,F
366793928,3324,43,39888,1205,4741,1027,5472,455984,T
885550265,3442,31,296012,5136,5076,1712,4650,455906,F
131453310,3400,56,265200,1001,43148,685,4819,455980,F
560657722,3349,41,46886,1352,4903,1370,5786,456215,T
626432869,3275,58,753250,891,4639,342,6087,456239,F
702498876,3196,121,706316,3508,5910,685,5700,455977,T
188954329,3396,42,461856,994,6164,685,6457,456211,F
978460574,3466,64,558026,1952,11661,1712,4786,456026,F
949566682,3281,56,223108,1498,12328,1370,4449,456353,T
859919220,3303,58,614358,1141,28765,1370,4336,455967,F
107740311,3420,33,266760,1057,9806,1712,6326,456120,F
580455815,3391,69,457785,873,6345,342,6477,455624,F
243867817,3390,57,64410,1243,11985,1370,5785,456519,T
331272634,3345,42,695760,866,6849,685,4296,456243,F
328034153,4350,24,230550,1236,5992,1712,4740,456382,T
113291402,4337,17,52044,1419,10524,1712,6139,455844,T
293230199,3463,45,599099,1934,5531,1712,3131,456024,F
489402344,3326,128,419076,4690,5076,685,6416,456313,T
478437788,3362,56,702658,1198,22709,1712,6471,456341,F
044302170,3397,59,237790,1569,5992,1370,3657,455791,T
480441009,3407,31,344107,1768,7990,685,4379,455767,T
217495110,4340,19,386260,916,4590,1370,6022,456169,T
600968211,3355,59,741455,1084,4541,1712,3628,456191,F
964956902,3355,40,462990,2424,8141,1712,5840,455618,F
816805472,3215,107,749095,3479,7073,685,3317,456186,T
115817291,3432,36,34320,1797,11985,685,3337,456282,T
196381321,3451,66,141491,920,5531,1370,3605,455883,F
725937878,3375,33,833625,1884,28765,1027,4298,456282,T
331793119,3433,54,44629,3784,6077,1027,4514,455713,T
575242289,3337,104,286982,2345,8805,342,4488,456237,T
848564170,4407,29,242385,1129,15410,342,6155,455610,T
303949110,3318,53,537516,1754,4848,342,4681,456255,T
684040722,3282,67,682656,6164,19613,1370,6369,455861,T
475366409,3470,40,746050,1739,4541,1027,2936,455744,T
255446563,3427,61,705962,5603,25381,342,2733,456435,T
326024300,3326,55,774958,2104,4590,342,5776,456211,T
088007113,3415,59,788865,897,4848,1027,2695,456310,F
578325117,4402,42,193688,940,10034,685,5936,456154,T
675945153,4324,29,432400,868,4358,1712,6019,455926,T
569664143,3274,129,536936,3126,5262,342,4817,456124,T
912532381,3427,66,582590,3656,4848,342,4694,455764,T
669649170,3274,36,183344,1391,7073,1027,3697,456191,T
402854388,3271,63,78504,5461,71914,342,3508,456174,T
407767444,3408,69,122688,5136,6164,1027,2762,455599,T
920494445,3438,44,581022,1307,7313,1712,5815,455825,F
679183932,3290,56,62510,1828,4314,1712,2954,456477,F
429371079,3428,58,209108,1414,23971,342,3164,455759,T
058595658,3368,38,407528,3196,22709,1370,3180,455599,T
406304464,3331,38,93268,1001,15410,342,4994,455522,T
466086120,3433,35,858250,2508,4448,1370,3117,456173,T
689133174,3302,68,782574,4959,22709,1027,4695,456339,T
508777177,3282,67,754860,1117,22709,1712,6211,455920,F
745999905,3229,110,80725,1419,71914,342,6080,456125,T
850596361,3380,46,723320,1335,7705,685,3649,456058,T
393893269,3392,52,671616,1254,6638,1712,4174,456475,F
974061993,3443,52,860750,1257,4590,342,5866,456013,T
958042165,3398,65,84950,871,35957,342,5443,455890,F
768231530,3225,132,306375,2283,8989,342,6402,456466,T
869430750,3469,61,485660,2146,14382,342,3096,455691,T
537106462,3352,49,479336,1185,4590,1027,4309,455714,T
971035339,3355,63,717970,1616,5393,685,4707,456166,T
501674597,3456,34,781056,985,13918,685,5433,456027,T
312305563,3301,65,736123,1552,6077,1370,5068,456005,T
626028354,3432,66,212784,980,17259,342,4631,456452,F
381355851,3458,30,733096,1634,13918,342,6430,455773,T
074758552,3242,123,402008,2895,4494,342,6186,456417,T
607674260,3465,40,221760,862,20547,1027,4855,455713,T
807439194,3468,42,430032,1126,39226,342,4754,455672,F
785480973,3302,55,577850,908,26968,685,2712,456347,F
858067818,3312,67,390816,996,5327,1027,5517,456300,F
736120157,3178,109,276486,1892,11354,342,5624,455987,T
102407476,3289,121,180895,2179,26968,342,5606,456476,T
518977759,3364,67,248936,2599,9806,1027,5716,455894,T
585435648,3388,52,657272,1103,4794,342,5774,455707,F
023765518,3362,47,164738,4741,53936,1370,3126,456050,T
354046025,3407,52,844936,3566,15981,1370,4606,455632,T
858976690,3294,55,401868,1462,6345,685,4631,455933,T
802735133,3347,47,354782,2523,4358,685,6123,455716,T
632747471,3440,54,433440,4494,11985,1712,3283,455609,F
627508896,3382,36,689928,2451,4590,342,6105,455831,T
680238676,4364,28,283660,1352,6537,1712,5597,456060,T
558511880,3349,52,277967,3852,19613,685,3406,455806,T
841816448,4468,26,326164,963,5017,342,5702,455766,T
815771672,3283,60,108339,2357,35957,1027,5680,456010,T
494673417,3470,40,714820,1851,33191,685,6044,456220,T
880084471,3311,54,341033,3017,7990,342,4751,456134,T
520198808,3422,61,780216,4590,5262,342,5553,456301,T
439047661,3628,33,794532,2465,5198,342,2864,456130,T
614219724,3365,54,410530,1705,5603,342,3327,456101,T
080769144,3342,70,207204,1272,7845,1027,3109,456105,T
179898401,3309,32,727980,1153,17259,1712,3620,456439,F
553871105,3461,36,844484,2631,5327,1027,5960,456104,T
051153010,3348,54,33480,1060,4903,685,3459,456173,F
354378421,3338,45,216970,2115,5461,1712,4223,456446,F
466181929,3298,49,685984,4690,7073,685,5652,456526,T
169515478,3391,35,657854,4494,9806,1712,4725,456083,F
792223536,3278,55,698214,886,15981,1370,3246,455785,F
652630970,3471,69,347100,1092,11063,1712,4206,456283,F
010948368,3371,63,711281,1129,5677,1027,3049,456103,F
573696437,3402,31,221130,1315,23971,685,6112,455761,T
423042154,3364,32,750172,1369,7073,685,5103,455778,T
748799361,3466,51,90116,912,61641,685,3675,456401,F
557505497,3264,128,235008,1761,5910,342,2761,456146,T
032555347,3400,63,61200,1205,11354,1370,6118,456472,T
423479854,3297,41,349482,974,8989,342,4582,456418,F
496361974,3174,132,276138,2783,4590,685,3198,455518,T
831123735,3385,49,345270,1405,12690,1370,5997,455667,T
662621662,3444,48,592368,2955,4448,1370,3528,455756,T
865514500,3406,59,401908,1634,5017,1027,2969,455955,T
643068168,3399,61,302511,1205,20547,1712,2862,456317,F
414730251,3357,56,137637,2508,5992,342,5668,455520,T
747407332,3370,39,252750,1546,71914,685,4627,456044,T
731625528,4366,13,165908,1250,19613,1712,5957,455639,T
382326598,3464,54,599272,978,8989,1370,4239,456354,F
326661741,3373,49,499204,1172,21574,1027,5651,456431,F
060538761,3385,30,60930,2370,86297,685,4529,456357,T
206259495,4502,24,396176,1438,5327,1370,6442,456175,T
496570213,3356,36,130884,2345,4448,1712,5095,456392,F
123937355,3349,63,401880,5992,4903,1370,4855,456283,T
882652001,3352,38,398888,893,47943,685,5029,455561,T
411646780,3393,49,766818,978,11985,1712,6443,455815,F
606953433,3342,61,758634,1761,10787,342,6465,455617,T
667132153,4342,27,343018,1003,5461,342,6048,455749,T
956128842,3316,66,374708,1037,4314,1027,3522,456470,F
770252234,3444,37,409836,2074,5677,1027,5675,455800,T
100224248,3351,41,46914,2553,5603,1027,4110,455829,T
573280608,3200,126,54400,3126,4358,342,5708,456002,T
037737351,3384,63,497448,1433,10034,1370,6225,455673,T
671074092,3279,48,426270,1247,14382,685,2982,456350,T
675947942,3389,44,413458,1530,4402,685,2767,455836,T
440195298,3284,33,88668,1622,5992,685,3178,455622,T
166777878,3462,50,100398,1892,8989,1712,4154,456205,F
752997097,3354,55,332046,1201,15410,1027,5629,455796,T
465214442,3345,46,491715,1783,7073,1370,3237,456528,T
314026573,3317,60,119412,1541,4794,1027,5562,455733,T
708934937,3291,52,697692,3196,15410,342,5653,455836,T
977877128,3423,61,373107,1519,16595,1370,4179,455986,T
772158696,3470,38,600310,5830,22709,1027,5938,456313,T
729965635,3454,33,701162,1156,30820,685,6173,456187,T
752374464,3302,48,663702,3319,12328,1370,3163,456373,T
886542675,3411,36,153495,2295,20547,685,5765,456009,T
702896312,3428,36,606756,1097,4448,342,5699,455656,T
727972559,3357,47,560619,898,12328,1027,5931,456114,F
584487245,3424,57,362944,956,7705,685,5916,455909,F
563060113,3410,70,347820,1017,14878,1712,6160,456111,F
306330336,3446,49,665078,4494,5603,1370,4831,455864,T
031548893,3463,30,121205,5461,6638,1370,5751,455993,T
943977246,3343,32,508136,1482,10787,342,4883,455988,T
898217872,3247,122,311712,5603,4358,342,5063,456397,T
833014687,3328,51,36608,2115,4794,1712,6228,456182,F
