userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
817617019,3511,41,351100,1331,910,1370,4586,455700,T
505352292,3372,35,222552,1331,5830,1712,3506,456521,F
568680677,4329,12,177489,1331,1215,342,5853,455958,T
993459975,3271,57,228970,1331,1828,1712,4441,455979,F
578276459,3486,73,181272,1331,2025,1027,3401,456362,T
480541033,3501,33,140040,1331,1616,1712,5960,456202,F
649086926,4513,53,198572,1331,4448,1712,6321,456349,T
167038734,3530,55,137670,1331,4848,1712,6118,456168,F
857584308,3414,53,78522,1331,1616,685,4494,456268,T
416656247,3564,83,292248,1331,17259,1712,5869,456310,F
025259156,3486,88,233562,1331,933,1712,4617,455572,F
481312321,4419,76,256302,1331,5017,1712,5535,456239,T
501523938,3517,98,87925,1331,910,1370,6224,456342,T
673835845,3366,71,185130,1331,1487,1712,5467,456103,F
768783737,3413,51,269627,1331,3536,1712,5666,455812,F
843688159,3320,97,325360,1331,1008,1027,2701,456504,T
102949229,3344,79,147136,1331,1049,1027,3196,456084,T
971040613,3384,74,165816,1331,7313,1712,4829,456139,F
261540303,3350,84,103850,1331,2383,1027,4739,456384,T
950215547,3439,86,85975,1331,12328,1712,5616,455747,F
806277004,3534,100,151962,1331,925,342,3533,456461,T
787410831,3568,60,217648,1331,1205,1712,3505,455680,F
287936574,3366,50,205326,1331,927,1370,6440,455804,T
185022628,3331,62,316445,1331,4189,1712,6092,456213,F
311632540,3530,65,257690,1331,1065,1027,5057,455928,T
498910572,3424,97,239680,1331,3196,1712,6256,455730,F
690425167,3308,98,320876,1331,2168,1712,6062,455845,F
094144570,3344,43,90288,1331,1530,1027,5576,456277,T
899907769,3299,79,112166,1331,47943,1027,4178,455874,T
489154738,3299,87,316704,1331,989,1712,3612,455976,F
071023373,3494,43,269038,1331,2451,685,3550,456233,T
602400523,3491,65,94257,1331,1276,1712,4488,456509,F
762339708,3306,61,218196,1331,1201,1027,4205,456368,T
754945001,3558,50,277524,1331,6537,1712,6163,456126,F
040822215,3458,87,293930,1331,8460,1370,3029,456439,T
434678073,3300,42,240900,1331,1001,1712,3021,456053,F
333773504,3366,57,138006,1331,1970,1712,3077,456242,F
784727693,3306,62,274398,1331,1592,342,6104,455574,T
748532573,3473,95,211853,1331,6959,1712,3630,455761,F
039805862,3404,99,197432,1331,5076,685,4991,456169,T
227698687,3397,56,169850,1331,1828,1027,6329,456520,T
101225257,3442,58,82608,1331,920,1712,3665,455643,F
097339030,3469,75,183857,1331,1163,685,3427,456226,T
070181487,3412,80,194484,1331,1257,1712,3044,456504,F
095975668,3290,96,161210,1331,875,342,5551,455682,T
229095780,3307,86,208341,1331,1876,1712,3603,455656,F
587096714,3426,73,71946,1331,2553,1370,6256,455886,T
449645616,3510,55,157950,1331,2295,1712,5618,455652,F
344360149,3565,62,139035,1331,900,685,3451,455685,T
455908494,3458,59,165984,1331,952,1712,5912,455837,F
698172901,3566,66,85584,1331,1117,1712,3635,456139,F
587479412,3398,83,248054,1331,889,342,6267,455789,T
626250738,3534,85,265050,1331,6849,1027,4734,455916,T
356881539,3436,45,213032,1331,7191,1712,3513,456445,F
178729630,3365,73,282660,1331,53936,1370,4686,455694,T
091097663,3422,44,301136,1331,4741,1712,6014,456517,F
688775310,3403,68,282449,1331,7705,342,4715,455856,T
376603130,3396,48,139236,1331,5992,1712,2976,455848,F
259421536,3273,32,166923,1331,15410,342,5745,456150,T
399789044,3524,50,70480,1331,912,1712,5068,456038,F
534533689,4512,17,261696,1331,3397,342,5860,456290,T
158449885,3424,37,181472,1331,994,1712,3418,456184,F
703945015,3401,49,316293,1331,1812,685,2937,456086,T
093153274,3521,96,211260,1331,1169,1712,2922,456255,F
087618373,3514,49,263550,1331,17259,1370,4801,456411,T
328511572,3362,64,87412,1331,39226,1712,6183,456513,F
272412800,3443,72,89518,1331,1400,1027,2878,455577,T
142401758,3326,30,312644,1331,1027,1712,3204,456397,F
201457392,3511,96,252792,1331,1508,342,4590,456203,T
129277847,3519,88,309672,1331,967,1712,5672,456358,F
651958736,3452,53,220928,1331,869,685,3704,456312,T
908740061,3529,30,229385,1331,2157,1712,3629,455787,F
676703201,3441,61,230547,1331,1027,1712,4435,456174,F
767207250,4320,27,216000,1331,4402,342,6394,455602,T
030992779,3411,30,163728,1331,1095,342,3047,455527,T
242862219,3542,67,88550,1331,1089,1712,3639,456507,F
744002896,3458,39,252434,1331,1419,685,3127,456220,T
645291450,3443,52,86075,1331,1900,1712,6227,456057,F
391480012,3416,100,198128,1331,1201,1027,4204,456342,T
927331612,3315,100,255255,1331,1222,1712,2967,456103,F
429032544,3284,61,239732,1331,933,342,2747,456142,T
088232153,3359,72,272079,1331,1269,1712,4908,456465,F
141184859,3471,93,163137,1331,5531,685,3050,456227,T
778790189,3475,40,250200,1331,898,1712,2858,455912,F
602827731,3431,76,223015,1331,1323,1370,3182,456115,T
076724328,3522,60,348678,1331,1580,1712,4751,456507,F
498696214,3462,41,166176,1331,974,1027,3658,455583,T
013059265,3396,66,326016,1331,1410,1712,5787,456258,F
076638093,3457,57,231619,1331,8141,1712,3538,456078,F
883357704,4523,31,280426,1331,3595,1712,6411,456424,T
829973760,3538,92,325496,1331,2801,1027,4648,456018,T
468715366,3471,75,298506,1331,2168,1712,5675,455780,F
129289425,3569,63,246261,1331,1592,342,5516,455665,T
122050699,3455,39,342045,1331,15981,1712,4407,455665,F
906501459,3489,50,76758,1331,2424,342,4588,455550,T
201093116,3407,56,160129,1331,1163,1712,3210,455943,F
672524780,3315,67,145860,1331,1212,1027,4631,456257,T
070044908,3275,76,81875,1331,3719,1712,4786,455937,F
180731581,3525,67,341925,1331,2713,685,5625,456240,T
875323411,3546,35,216306,1331,5262,1712,3023,455685,F
