userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
084041109,4692,28,647496,2802,11008,501,4973,621552,T
883156870,4337,295,351297,2939,9765,2505,2515,621997,T
094020390,4729,11,770827,1528,26323,1002,4441,622032,T
751356685,4295,309,502515,1715,8774,1002,2229,621625,F
475712750,4379,318,122612,5087,8408,2004,2390,621640,T
643507697,2862,31,495126,3326,6241,2004,3152,621958,T
087330858,4809,36,177933,6054,14080,501,2745,621411,T
692575959,2795,1,100620,2201,9925,1002,4062,621342,T
750014922,2880,21,457920,1502,100906,1503,3460,621635,T
707481724,4664,38,797544,1238,19530,501,2359,621157,T
385640692,4814,47,876148,2146,16817,1503,4303,621111,T
176790787,4794,35,57528,3440,9036,2505,2515,621354,T
680579671,4430,319,527170,1897,86491,2505,2970,621913,F
567888581,4374,308,328050,3931,6727,1503,2986,621936,T
939764566,4536,28,1006992,2504,11709,816,4182,1021706,T
857837792,4279,308,389389,2816,11643,2004,2518,621457,T
189428026,4292,293,553668,3737,7862,2004,2486,621213,T
769484290,4754,44,518186,2939,50453,501,4069,621727,T
711735491,4774,15,835450,3104,15136,2505,2515,621834,T
843225087,2792,1,100512,1636,7294,1503,3860,621468,T
936945470,4634,49,607054,2522,20877,1503,2682,621688,T
181653085,4317,298,202899,2461,10811,1503,2725,621188,T
232775797,4806,48,961200,5310,9765,1002,2222,621830,T
761373732,2770,7,199440,1572,6440,1002,2394,621338,T
254918427,2761,1,35893,1525,17807,2505,4006,621718,T
509541129,4718,17,1118166,3186,7122,1002,2441,621848,T
615284550,2770,1,670340,6727,8774,2004,2935,621919,T
291300699,4751,48,522610,3042,18346,1503,3183,621192,T
801908785,4655,35,479465,2234,27520,2505,3892,621993,T
767084835,4294,306,618336,1640,6440,2505,2515,621660,F
436619408,4762,19,404770,2146,8293,1002,2088,621712,T
307936936,2769,23,357201,2471,9314,1002,2409,621385,T
270488826,2876,15,301980,3714,10090,501,3380,621647,T
422928155,4322,309,821180,5994,26323,2004,2014,621510,T
657531118,2879,8,178498,2967,33635,2505,2515,621651,T
760656364,2912,6,337792,1382,6440,2505,2515,621346,T
838090668,4654,43,674830,2620,22423,1002,3443,621892,T
890348584,4739,25,725067,1734,7383,1503,2850,621949,T
471492953,4802,42,696290,3073,67271,2505,2515,621544,T
907273716,4417,314,119259,1796,12613,1503,2334,621156,F
927088943,4754,37,627528,1857,8774,1002,3851,621250,T
134289972,4669,44,424879,3220,6727,2505,4952,621301,T
613781461,4680,44,833040,2678,7474,1002,2839,621272,T
469441697,4768,49,467264,4451,40362,2505,2515,621230,T
611517600,2755,1,66120,2052,14080,501,3267,621909,T
009352601,4782,23,1185936,6306,9460,1503,3060,621779,T
065889592,4433,321,1041755,3983,17807,1503,2442,622008,T
817541470,4742,46,919948,1424,11008,1503,4968,621730,T
013242248,2809,1,561800,2319,10261,501,3156,621802,T
187540545,4783,42,1018779,1238,6727,2505,3232,622030,T
700878294,4734,38,553878,1749,60544,1002,3128,621198,T
426713459,4694,15,1009210,1540,67271,1002,3045,621854,T
022231184,4672,32,920384,1667,8408,2505,4135,621369,T
215946630,4672,23,373760,3784,11423,1503,4179,621593,T
153668505,2811,29,688695,4962,9314,501,3403,621706,T
153522243,4698,41,1075842,1266,7862,2505,2752,621664,T
067982581,2925,18,225225,1605,8408,1002,2920,621281,T
223302932,2818,13,526966,2031,10438,2505,2515,621342,T
911604581,4393,321,742417,3420,10621,501,3854,621995,T
819497052,4755,38,285300,1483,50453,2505,2983,622079,T
967908863,4770,41,1140030,2967,9460,2004,3052,621666,T
075388504,2856,1,476952,6802,14766,501,4945,621093,T
982427314,4272,308,653616,2816,9460,501,2158,621631,T
267401732,4722,14,207768,2193,7122,2004,2844,621434,T
590238421,2803,13,535373,1812,11211,1503,3526,621278,T
314512517,2827,32,684134,1775,43245,501,4156,621445,T
279689650,4634,14,968506,5454,14766,1002,3907,622034,T
902187948,2751,20,574959,2402,9460,1503,3267,621395,T
846472931,4469,321,223450,1840,14415,501,2533,621134,F
864177193,4796,17,652256,1228,31865,2004,3363,621902,T
676529199,4794,33,345168,3136,7122,501,3227,621574,T
419976322,4377,305,1015464,1240,9036,501,3081,621379,F
196228097,4681,18,280860,2185,14415,2004,4918,622057,T
957383661,4813,18,1068486,1277,6959,2505,4549,621825,T
806552929,4365,317,122220,8527,17298,2505,2515,621178,T
247909885,4442,294,1061638,2727,6510,1002,3668,621180,T
216931712,4417,299,1086582,2284,60544,2004,2242,621268,T
224294095,4639,36,111336,2777,43245,501,2449,621793,T
093229692,4368,314,917280,2491,8181,2004,2162,622056,T
186941223,4433,330,580723,1636,9610,501,2211,621224,F
970240648,4700,15,822500,1228,8293,1002,4431,622059,T
881475194,4775,25,128925,1498,12613,1503,4752,621410,T
588641757,4765,24,457440,2522,43245,2505,4216,621308,T
631669039,4696,43,507168,1610,50453,2505,4762,621277,T
076748203,4468,302,192124,1903,18920,501,2151,621413,F
734226764,2778,1,633384,1700,10621,1002,3001,621131,T
875721119,4656,48,558720,1775,6802,501,3612,621906,T
824083761,4453,296,837164,1513,14415,1503,2442,621940,F
437934656,4410,330,595350,2154,121088,1503,1990,621830,F
675063278,2778,32,419478,2576,8072,2004,4057,621975,T
691110752,4657,22,540212,1903,100906,2505,3976,622023,T
973788588,4664,39,634304,1316,6653,2004,4575,621439,T
543111918,2815,11,289945,2185,40362,1002,2767,621091,T
058956323,2733,2,65592,2045,6373,2505,4000,621537,T
220552666,4279,325,748825,1230,13161,501,2503,621479,F
840708852,4668,34,144708,5554,9765,1002,4885,621883,T
123167683,4671,48,803412,2655,8293,2505,2770,621974,T
837123748,2781,9,86211,1610,8293,1002,3764,621324,T
486190995,4649,22,502092,2225,20877,501,3720,621887,T
842486684,4825,20,414950,4518,9765,1002,4385,621308,T
418917989,4467,309,754923,5658,14415,501,2476,621580,T
330500323,2876,4,701744,1934,8072,2505,3539,621337,T
169904086,4771,20,796757,3401,6959,1002,2039,621749,T
965380225,2789,8,192441,4621,9925,2505,3043,621092,T
030185104,4375,325,262500,1491,30272,2004,2187,621160,F
221520088,4295,321,554055,2522,6727,2004,2386,621720,T
779596716,4297,307,1065656,1424,7568,2004,3036,621302,F
041053742,2916,18,729000,3120,10261,1503,2747,622034,T
409518340,4690,19,975520,1525,75680,2505,4734,621274,T
431355869,4695,30,436635,2139,17807,501,3657,622022,T
711782654,4711,50,409857,1369,7474,2004,3224,621179,T
915804329,2756,1,661440,2587,11643,2505,2510,621148,T
181076973,4666,25,863210,1868,15136,2004,3026,621992,T
981822575,4815,39,876330,2690,15932,2505,4850,621282,T
248742896,4694,16,450624,2177,6115,2505,3822,621506,T
380114859,4649,46,474198,1892,55040,2505,3452,621938,T
642892805,4454,318,62356,3290,6306,2505,2980,622091,T
385628885,4681,43,585125,3520,17298,2004,2225,621522,T
570151628,4331,297,757925,2576,26323,2004,3410,622040,T
369081850,4399,314,329925,2690,6054,1002,2313,621728,T
450318954,4405,325,533005,5357,40362,501,3537,621141,T
335827283,4383,309,902898,2124,25226,2505,2515,622063,F
283114788,4459,327,954226,4293,10090,1002,3630,621410,T
197614826,4407,292,502398,6959,7207,501,2654,621283,T
466900917,2872,19,246992,2441,13760,1002,3794,621776,T
005160223,4725,41,562275,7862,8181,501,3631,621758,T
143903156,2758,32,270284,2131,24217,2505,2735,621328,T
355590428,2806,33,628544,1909,14766,2505,2904,621717,T
060536868,4469,317,482652,1517,7862,501,2993,622015,F
887713255,4816,28,235984,4175,16817,1503,4513,621734,T
913448839,4467,312,446700,1903,6802,1503,2131,621658,F
299414795,4826,40,521208,1959,17298,1503,3125,621226,T
056038703,4734,18,643824,1636,6510,501,2483,621537,T
617147986,2848,15,68352,1280,100906,2505,2515,622056,T
457305590,2828,9,28280,1739,20877,2004,3089,621525,T
706739837,2767,33,575536,2234,7966,1002,3376,621942,T
983747428,2867,1,521794,1576,10090,2505,2515,622007,T
387763176,4388,306,447576,2259,60544,501,2876,621264,T
882408220,4829,28,1033406,1248,67271,2004,2015,621128,T
728635314,4798,10,307072,4767,6802,501,4409,621142,T
623743309,4820,21,742280,1220,6580,1503,3109,621580,T
505065981,2844,18,164952,3760,31865,2505,3887,621535,T
534045693,2738,17,558552,1243,86491,2004,2881,621598,T
854567721,4281,302,676398,2752,8903,2505,2515,621602,T
179145369,4631,37,245443,7474,15136,1503,2717,621451,T
876208283,4335,313,554880,1636,8072,501,3406,621865,F
509156298,2863,10,478121,1379,6727,2505,2627,621975,T
871254047,2740,1,169880,1880,12881,1002,2318,621639,T
328080080,2849,1,558404,1498,67271,1002,3237,621619,T
764073720,2830,4,356580,1339,46572,2505,2815,622075,T
198405617,2772,21,665280,2667,18346,1503,4005,621591,T
514502066,2787,24,348375,1310,8072,2004,3396,622029,T
050841579,2917,31,469637,1649,7862,2505,3082,622043,T
154052931,4708,36,480216,2193,16363,1503,2646,621794,T
070831530,2807,3,519295,2087,6653,2004,2422,621606,T
665493045,4781,45,502005,1250,18920,2505,4607,621391,T
271233708,4779,29,191160,2185,10438,1002,3750,621950,T
077423943,2888,3,482296,1210,13454,501,2329,621769,T
707533381,4696,40,1174000,1354,11643,1503,3960,621190,T
725910370,4708,35,1158168,5357,16363,2004,2538,621727,T
132730428,4764,36,914688,2533,6580,2505,3102,621900,T
638582465,2763,13,444843,3027,23286,2505,2515,621685,T
732052514,4764,31,85752,3027,10811,1002,4054,621673,T
593804092,2799,17,618579,1431,7040,1002,3712,621255,T
353354155,4679,16,753319,1823,8181,1503,3228,621867,T
055750683,4668,34,438792,2170,9036,2505,2515,621952,T
720670070,4302,302,193590,3714,30272,2505,3011,621109,T
305353664,4686,40,1012176,3931,8293,2004,2222,621202,T
663482445,2750,26,445500,2094,7568,1002,3707,621849,T
590556431,4373,328,865854,1434,55040,2004,3699,621561,F
989051210,4684,21,815016,1857,14766,2004,2622,621625,T
485368370,2838,22,402996,1288,13161,501,3040,621590,T
902839150,4651,42,641838,1285,67271,1503,3401,621671,T
444526541,4641,33,454818,1245,6880,2505,2515,621889,T
931005948,4692,33,281520,1915,33635,2004,3847,621790,T
672629542,4811,16,923712,1640,9314,2505,2727,621511,T
012734926,4796,28,527560,3647,16817,1002,2543,622069,T
011924003,4647,15,562287,1880,12613,1503,2213,621705,T
282188591,2768,7,417968,1654,11211,1503,3436,621558,T
175952080,4801,22,76816,1959,8774,1002,2495,622061,T
918353032,2812,6,469604,1775,13760,2505,3981,621958,T
432632252,4783,47,129141,2319,20877,1002,4533,622055,T
867949451,4658,28,65212,1729,7294,501,2028,622092,T
016488127,4730,35,1054790,3647,9460,2004,2868,621902,T
193977621,2921,21,169418,1210,67271,2505,3477,621248,T
185648858,4764,30,652668,1476,13454,501,2054,621686,T
624571476,4799,16,76784,1892,33635,1503,3803,621519,T
600439258,4818,24,582978,1327,9036,2004,4480,621805,T
666255807,4687,33,459326,2402,15932,1503,3596,621316,T
188295494,2847,10,458367,1791,7122,1503,3503,621720,T
208062431,2867,1,424316,4090,16817,2004,2766,621621,T
557096318,4425,308,194700,5878,7294,501,3699,621706,T
505368527,4332,313,792756,3237,6959,2004,2014,621370,T
698538974,4639,23,672655,1791,12355,501,4890,621577,T
364256212,4813,20,96260,6241,11211,1503,2959,621240,T
754044990,4325,299,990425,1369,11871,2004,2033,621221,F
137487689,4468,300,1032108,4355,16817,2004,3141,621384,T
653733969,4680,19,687960,1448,67271,2004,2659,622082,T
780878951,4769,19,205067,2024,6241,1002,3274,621672,T
079163568,4816,11,57792,1424,26323,1503,2108,621845,T
889789936,2919,1,195573,1796,40362,501,4380,621754,T
679505717,4447,323,707073,1640,67271,2004,3053,621891,F
346088004,4823,32,53053,2080,7663,2004,4907,621678,T
373651340,2906,1,380686,2501,8293,501,2924,621509,T
097562165,2804,11,555192,4324,6373,2004,3313,621304,T
179147290,2841,26,693204,7383,12108,1002,2108,621581,T
213814541,4806,35,52866,1548,6880,1503,2500,621301,T
696082428,4350,317,817800,1220,20181,2004,2547,622015,F
641028020,4442,318,670742,2451,75680,501,2093,621524,T
866585482,4804,46,283436,2829,6177,501,2055,621477,T
958994741,2866,33,444230,1369,24217,2505,3210,621696,T
245630566,4376,331,48136,1580,18920,1503,2406,621654,F
051697428,4304,329,856496,3760,14415,2004,3508,621303,T
896403058,2888,1,444752,5264,7122,1503,3525,621254,T
494015476,4726,10,869584,5554,13760,1503,1960,621374,T
337033508,4404,322,114504,2045,7568,1503,2703,621963,F
918991540,4705,46,606945,1705,10811,1503,4630,621541,T
546852208,4345,311,660440,2764,50453,501,3064,621986,T
831939123,4279,299,941380,5711,6959,501,2660,621262,T
554232735,4756,37,565964,1342,13454,1002,3979,621704,T
373258838,4704,39,917280,1640,46572,1503,2238,621549,T
396244196,2836,19,155980,1972,50453,2505,2515,621665,T
181853676,4825,50,603125,2924,6510,2004,4354,621774,T
874034280,4771,12,601146,1568,8293,2004,2331,621207,T
718642207,2753,23,484528,1414,9610,2505,3720,621925,T
262161166,4775,22,601650,1498,6373,1002,3173,621810,T
756034457,2758,17,52402,6653,6241,2004,2859,622043,T
771168959,4728,48,534264,7294,16363,2004,4475,622087,T
573952055,4818,45,828696,2276,10261,1002,3847,621752,T
310516875,4345,299,968935,4419,25226,2004,3632,621292,T
620482260,4662,37,1020978,1623,6580,1002,3914,622044,T
699095350,4730,30,605440,1240,14415,1002,4959,621461,F
356600902,2753,8,536835,2829,18346,1503,2806,621851,T
914846170,2908,6,517624,2059,7568,501,3981,621620,T
953314344,4721,32,198282,2896,46572,2505,4324,621171,T
129270755,2895,33,112905,3647,7040,2505,2515,622000,T
295238159,2786,21,52934,1818,25226,501,4091,621568,T
276488565,4821,50,192840,5405,46572,1002,4507,621794,T
155034902,2863,1,294889,1330,8903,1002,2763,622055,T
438749351,4712,18,720936,1886,9610,2505,4356,621200,T
