userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
387850963,4717,60,245284,1240,12881,1002,4847,621429,T
549709811,4281,333,89901,1240,1593,501,1956,621946,F
452796960,2768,30,99648,1240,13454,2004,2742,621664,T
245595229,4359,328,226668,1240,12355,501,2118,621840,F
169936299,4819,33,250588,1240,1710,2505,4832,621503,T
646717238,4497,321,112425,1240,1411,1503,1958,622079,F
417726433,2845,48,79660,1240,1210,1503,2831,621217,T
011237047,4361,337,100303,1240,31865,1503,2757,621960,F
989672991,2780,51,233520,1240,10090,1503,2466,621370,T
380436709,4370,304,117990,1240,5045,501,2678,622080,F
863673527,4524,297,438828,1240,4355,501,1975,621956,F
476193705,2919,24,151788,1240,4419,501,4287,621996,T
615858009,2962,59,145138,1240,1536,1002,2888,621517,T
854385666,4323,352,233442,1240,3012,501,3001,621619,F
150279021,4373,336,118071,1240,1395,2505,2250,622036,F
238726721,4657,50,302705,1240,1321,2004,2636,621413,T
216698855,4872,51,380016,1240,2045,2004,4668,621883,T
446229326,4362,336,362046,1240,1739,2505,2442,621340,F
473510940,4525,333,203625,1240,5357,501,2794,621225,F
009937422,4677,77,448992,1240,3459,1002,2243,621932,T
162562753,4717,52,127359,1240,1417,1503,3671,621640,T
335922077,4531,352,185771,1240,4175,501,2953,621116,F
914285647,4711,13,146041,1240,1288,1002,3957,621301,T
064155091,4348,360,234792,1240,2201,2004,2285,621663,F
715268756,2794,28,203962,1240,1868,1503,2335,621086,T
360118124,4393,359,101039,1240,1498,2505,2348,621212,F
485574196,2807,40,224560,1240,2004,1002,3252,621215,T
890406761,4301,356,124729,1240,1791,2004,1975,621111,F
010809783,2731,1,177515,1240,33635,1002,3038,621923,T
589294758,4415,334,419425,1240,1258,501,3162,622077,F
541674136,4754,63,423106,1240,67271,2505,3942,621145,T
827490729,4456,302,418864,1240,1593,2505,2185,621960,F
878825320,4928,67,354816,1240,1513,2505,4937,621087,T
954355177,4504,310,315280,1240,2073,501,2597,621620,F
965710125,4503,302,445797,1240,1851,501,2880,622026,F
478173130,2854,11,251152,1240,2471,1002,3734,622078,T
095742880,2909,1,133814,1240,7762,1002,2573,621426,T
085104828,4459,305,156065,1240,8181,501,2793,621582,F
871278467,2760,20,74520,1240,1959,501,4199,621188,T
658239191,4397,358,255026,1240,4204,501,2772,621171,F
039522735,4870,15,248370,1240,1431,2004,3932,621316,T
016057656,4313,344,362292,1240,3760,501,2015,621866,F
346525003,4810,49,197210,1240,2225,2505,4094,622011,T
749725634,4456,361,129224,1240,3760,501,2103,621250,F
994047945,4820,57,269920,1240,12881,2505,4294,621898,T
511011333,4338,301,281970,1240,3957,2004,2091,621845,F
216313473,4827,67,236523,1240,3326,1503,3256,621882,T
808836919,4441,349,284224,1240,2451,2004,2320,622070,F
177672369,2899,38,217425,1240,2471,2505,2151,621545,T
857038031,4527,332,443646,1240,1319,1503,1986,621794,F
564743071,2877,41,100695,1240,1228,501,3707,621240,T
585513428,4290,362,347490,1240,5554,501,2757,621504,F
651622822,4793,53,182134,1240,2576,1503,2568,621730,T
617063158,4318,352,384302,1240,18346,1002,2084,621391,F
506157564,2963,15,260744,1240,4586,2004,2149,622042,T
403323496,4366,338,213934,1240,1282,501,2701,621564,F
844181247,4874,34,287566,1240,1469,2004,3591,621956,T
292724941,4288,357,240128,1240,1366,2004,2224,621812,F
303569018,2810,20,207940,1240,67271,1503,2644,621668,T
025227195,4303,326,309816,1240,1336,2004,2161,621676,F
917095700,2866,3,249342,1240,4922,501,3719,621965,T
048868443,4296,304,98808,1240,1494,1503,2194,621967,F
197722835,4897,14,416245,1240,17298,1002,4454,621313,T
724405409,4461,336,352419,1240,7862,1503,2134,621966,F
770219357,4667,10,359359,1240,4552,1002,2152,621420,T
488254331,4339,328,416544,1240,1631,2004,2044,621430,F
511902027,3005,44,207345,1240,1959,501,4219,621177,T
449199139,4395,327,101085,1240,2365,501,2136,621966,F
099237667,3022,6,105770,1240,3647,1002,3349,621442,T
256162434,4347,303,273861,1240,10621,501,3021,621693,F
395039893,2771,44,249390,1240,2170,501,3896,621673,T
570130566,4293,331,231822,1240,4922,501,3046,621339,F
203657971,4698,52,455706,1240,6241,1002,4959,621117,T
189664748,4457,358,182737,1240,55040,2505,1976,621721,F
726022638,4434,298,128586,1240,1342,1503,1995,621980,F
193928847,4923,21,103383,1240,35614,501,4826,621166,T
638073769,2824,58,166616,1240,5504,2004,2696,621834,T
151950312,4288,341,115776,1240,11423,2004,2387,621127,F
062534971,4839,67,445188,1240,5605,1503,4360,621745,T
272092774,4476,328,308844,1240,1376,1503,2183,621743,F
977515733,4749,33,99729,1240,1427,2505,4189,621508,T
743752470,4432,323,137392,1240,1233,2505,2104,621688,F
372570850,2942,40,170636,1240,3290,501,2005,621105,T
779856638,4392,351,368928,1240,20877,1002,2077,621628,F
191298075,4838,51,120950,1240,8527,2004,3830,621775,T
028013948,4337,342,264557,1240,1627,501,2796,621540,F
433341157,4276,349,299320,1240,6115,501,3127,621696,F
018924662,2808,35,235872,1240,10261,2505,3575,621211,T
926913418,4742,50,308230,1240,1672,2004,2856,621606,T
130719618,4497,309,152898,1240,2170,1002,2041,621665,F
278064482,4679,27,280740,1240,2319,1002,1967,621472,T
433013901,4334,323,117018,1240,12881,2004,2332,621614,F
110969942,4754,75,128358,1240,5658,1503,2221,621822,T
393387157,4434,359,168492,1240,1640,2004,2273,621962,F
723402055,2784,18,77952,1240,1498,2505,4005,621700,T
132286103,4547,346,281914,1240,2643,501,2394,621799,F
354943993,4878,24,365850,1240,1401,1002,3423,621222,T
666618573,4317,302,358311,1240,5711,2505,1988,621746,F
904648018,4357,309,239635,1240,5994,2004,2272,621867,F
839023528,4712,67,230888,1240,1313,1002,2556,621686,T
